-------------- Solving ODE Using RK34 Without Time Adaptivity --------------

Time                    Calculated Values(V1)           Calculated Values(V2)
0.0000000248            0.3730695561                    0.1274780086
0.0000000250            0.3805699026                    0.1298676906
0.0000000252            0.3878234896                    0.1323082923
0.0000000254            0.3948409256                    0.1347930832
0.0000000256            0.4016322757                    0.1373157994
0.0000000258            0.4082070915                    0.1398706150
0.0000000260            0.4145744403                    0.1424521151
0.0000000262            0.4207429312                    0.1450552703
0.0000000264            0.4267207407                    0.1476754130
0.0000000266            0.4325156366                    0.1503082149
0.0000000268            0.4381350003                    0.1529496658
0.0000000270            0.4435858480                    0.1555960543
0.0000000272            0.4488748509                    0.1582439482
0.0000000274            0.4540083537                    0.1608901778
0.0000000276            0.4589923927                    0.1635318189
0.0000000278            0.4638327124                    0.1661661775
0.0000000280            0.4685347814                    0.1687907752
0.0000000282            0.4731038071                    0.1714033354
0.0000000284            0.4775447501                    0.1740017705
0.0000000286            0.4818623372                    0.1765841695
0.0000000288            0.4860610740                    0.1791487870
0.0000000290            0.4901452566                    0.1816940325
0.0000000292            0.4941189833                    0.1842184598
0.0000000294            0.4979861641                    0.1867207581
0.0000000296            0.5017505316                    0.1891997429
0.0000000298            0.5054156498                    0.1916543477
0.0000000300            0.5089849233                    0.1940836161
0.0000000302            0.5104962303                    0.1964694945
0.0000000304            0.5080726932                    0.1987526973
0.0000000306            0.5018658924                    0.2008615943
0.0000000308            0.4920201162                    0.2027302638
0.0000000310            0.4786727548                    0.2042981305
0.0000000312            0.4639200477                    0.2055268240
0.0000000314            0.4497666715                    0.2064239856
0.0000000316            0.4361828651                    0.2070140736
0.0000000318            0.4231404987                    0.2073200199
0.0000000320            0.4106129811                    0.2073633206
0.0000000322            0.3985751722                    0.2071641219
0.0000000324            0.3870032999                    0.2067413007
0.0000000326            0.3758748829                    0.2061125400
0.0000000328            0.3651686571                    0.2052944007
0.0000000330            0.3548645065                    0.2043023887
0.0000000332            0.3449433982                    0.2031510182
0.0000000334            0.3353873209                    0.2018538710
0.0000000336            0.3261792274                    0.2004236527
0.0000000338            0.3173029801                    0.1988722454
0.0000000340            0.3087432993                    0.1972107572
0.0000000342            0.3004857153                    0.1954495693
0.0000000344            0.2925165225                    0.1935983793
0.0000000346            0.2848227366                    0.1916662431
0.0000000348            0.2773920541                    0.1896616136
0.0000000350            0.2702128140                    0.1875923772
0.0000000352            0.2632739622                    0.1854658884
0.0000000354            0.2565650172                    0.1832890025
0.0000000356            0.2500760383                    0.1810681054
0.0000000358            0.2437975954                    0.1788091429
0.0000000360            0.2377207409                    0.1765176476
0.0000000362            0.2318369826                    0.1741987640
0.0000000364            0.2261382586                    0.1718572727
0.0000000366            0.2206169135                    0.1694976128
0.0000000368            0.2152656760                    0.1671239029
0.0000000370            0.2100776377                    0.1647399612
0.0000000372            0.2050462332                    0.1623493242
0.0000000374            0.2001652213                    0.1599552638
0.0000000376            0.1954286672                    0.1575608048
0.0000000378            0.1908309260                    0.1551687394
0.0000000380            0.1863666265                    0.1527816426
0.0000000382            0.1820306569                    0.1504018855
0.0000000384            0.1778181502                    0.1480316486
0.0000000386            0.1737244715                    0.1456729335
0.0000000388            0.1697452049                    0.1433275749
0.0000000390            0.1658761425                    0.1409972507
0.0000000392            0.1621132726                    0.1386834927
0.0000000394            0.1584527696                    0.1363876957
0.0000000396            0.1548909838                    0.1341111264
0.0000000398            0.1514244327                    0.1318549322
0.0000000400            0.1480497913                    0.1296201486
0.0000000402            0.1467292596                    0.1274249066
0.0000000404            0.1493397916                    0.1253285679
0.0000000406            0.1557298820                    0.1234028374
0.0000000408            0.1657553159                    0.1217137097
0.0000000410            0.1792787753                    0.1203218317
0.0000000412            0.1942040912                    0.1192656442
0.0000000414            0.2085266563                    0.1185375747
0.0000000416            0.2222762995                    0.1181132323
0.0000000418            0.2354812171                    0.1179697513
0.0000000420            0.2481680654                    0.1180857005
0.0000000422            0.2603620485                    0.1184409971
0.0000000424            0.2720870010                    0.1190168268
0.0000000426            0.2833654655                    0.1197955675
0.0000000428            0.2942187663                    0.1207607182
0.0000000430            0.3046670784                    0.1218968317
0.0000000432            0.3147294924                    0.1231894515
0.0000000434            0.3244240762                    0.1246250520
0.0000000436            0.3337679324                    0.1261909831
0.0000000438            0.3427772533                    0.1278754168
0.0000000440            0.3514673715                    0.1296672980
0.0000000442            0.3598528093                    0.1315562979
0.0000000444            0.3679473234                    0.1335327697
0.0000000446            0.3757639482                    0.1355877077
0.0000000448            0.3833150365                    0.1377127081
0.0000000450            0.3906122974                    0.1398999325
0.0000000452            0.3976668323                    0.1421420735
0.0000000454            0.4044891692                    0.1444323221
0.0000000456            0.4110892941                    0.1467643377
0.0000000458            0.4174766815                    0.1491322189
0.0000000460            0.4236603227                    0.1515304766
0.0000000462            0.4296487528                    0.1539540090
0.0000000464            0.4354500754                    0.1563980773
0.0000000466            0.4410719870                    0.1588582834
0.0000000468            0.4465217993                    0.1613305489
0.0000000470            0.4518064601                    0.1638110949
0.0000000472            0.4569325734                    0.1662964238
0.0000000474            0.4619064184                    0.1687833012
0.0000000476            0.4667339669                    0.1712687397
0.0000000478            0.4714209006                    0.1737499833
0.0000000480            0.4759726259                    0.1762244927
0.0000000482            0.4803942901                    0.1786899317
0.0000000484            0.4846907941                    0.1811441541
0.0000000486            0.4888668067                    0.1835851918
0.0000000488            0.4929267765                    0.1860112432
0.0000000490            0.4968749439                    0.1884206624
0.0000000492            0.5007153522                    0.1908119495
0.0000000494            0.5044518581                    0.1931837406
0.0000000496            0.5080881414                    0.1955347992
0.0000000498            0.5116277149                    0.1978640080
0.0000000500            0.5150739325                    0.2001703605
0.0000000502            0.5164646229                    0.2024357542
0.0000000504            0.5139228602                    0.2046008558
0.0000000506            0.5076001773                    0.2065939876
0.0000000508            0.4976408159                    0.2083491821
0.0000000510            0.4841821206                    0.2098058187
0.0000000512            0.4693202862                    0.2109254826
0.0000000514            0.4550599455                    0.2117157717
0.0000000516            0.4413712945                    0.2122011017
0.0000000518            0.4282261612                    0.2124043627
0.0000000520            0.4155979133                    0.2123470100
0.0000000522            0.4034613701                    0.2120491495
0.0000000524            0.3917927201                    0.2115296187
0.0000000526            0.3805694431                    0.2108060621
0.0000000528            0.3697702369                    0.2098950028
0.0000000530            0.3593749482                    0.2088119097
0.0000000532            0.3493645075                    0.2075712605
0.0000000534            0.3397208679                    0.2061866015
0.0000000536            0.3304269470                    0.2046706033
0.0000000538            0.3214665726                    0.2030351137
0.0000000540            0.3128244315                    0.2012912075
0.0000000542            0.3044860209                    0.1994492326
0.0000000544            0.2964376027                    0.1975188547
0.0000000546            0.2886661609                    0.1955090979
0.0000000548            0.2811593609                    0.1934283840
0.0000000550            0.2739055114                    0.1912845693
0.0000000552            0.2668935280                    0.1890849785
0.0000000554            0.2601129002                    0.1868364374
0.0000000556            0.2535536583                    0.1845453035
0.0000000558            0.2472063444                    0.1822174945
0.0000000560            0.2410619831                    0.1798585156
0.0000000562            0.2351120552                    0.1774734841
0.0000000564            0.2293484723                    0.1750671545
0.0000000566            0.2237635530                    0.1726439397
0.0000000568            0.2183500005                    0.1702079330
0.0000000570            0.2131008816                    0.1677629279
0.0000000572            0.2080096062                    0.1653124361
0.0000000574            0.2030699093                    0.1628597060
0.0000000576            0.1982758327                    0.1604077387
0.0000000578            0.1936217081                    0.1579593035
0.0000000580            0.1891021421                    0.1555169528
0.0000000582            0.1847120006                    0.1530830358
0.0000000584            0.1804463949                    0.1506597111
0.0000000586            0.1763006688                    0.1482489594
0.0000000588            0.1722703858                    0.1458525942
0.0000000590            0.1683513173                    0.1434722734
0.0000000592            0.1645394317                    0.1411095086
0.0000000594            0.1608308837                    0.1387656749
0.0000000596            0.1572220046                    0.1364420202
0.0000000598            0.1537092927                    0.1341396726
0.0000000600            0.1502894049                    0.1318596494
0.0000000602            0.1489245227                    0.1296200636
0.0000000604            0.1514915827                    0.1274802590
0.0000000606            0.1578390619                    0.1255119232
0.0000000608            0.1678227286                    0.1237810337
0.0000000610            0.1813052479                    0.1223482209
