Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.006000,2.498501,2.501101,
0.014000,2.496505,2.502569,
0.030000,2.492525,2.505500,
0.062000,2.484605,2.511350,
0.126000,2.468935,2.523001,
0.254000,2.438259,2.546103,
0.510000,2.379533,2.591524,
1.022000,2.272268,2.679318,
2.046000,2.096129,2.843349,
4.094000,1.873342,3.129114,
6.142000,1.711547,3.366186,
10.238000,1.366131,3.733474,
14.334000,1.058490,3.999998,
18.430000,1.016430,4.183124,
22.526000,0.925305,4.309818,
26.622000,0.788989,4.403643,
30.718000,0.844234,4.464427,
34.814000,0.824570,4.504097,
38.910000,0.744912,4.536572,
43.006000,0.821456,4.554647,
47.102000,0.822875,4.564024,
51.198000,0.766481,4.575467,
55.294000,0.674892,4.579203,
59.390000,0.738921,4.586888,
63.486000,0.733527,4.594012,
67.582000,0.671803,4.593155,
71.678000,0.743311,4.596215,
75.774000,0.759130,4.599094,
79.870000,0.704502,4.595193,
83.966000,0.771423,4.595823,
88.062000,0.800457,4.596518,
92.158000,0.669674,4.601247,
96.254000,0.754776,4.601537,
100.350000,0.743281,4.601102,
