Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.004000,2.499001,2.500734,
0.006000,2.498502,2.501101,
0.008000,2.498004,2.501468,
0.010000,2.497506,2.501835,
0.012000,2.497009,2.502202,
0.014000,2.496512,2.502569,
0.016000,2.496016,2.502935,
0.018000,2.495520,2.503302,
0.020000,2.495025,2.503668,
0.022000,2.494530,2.504035,
0.024000,2.494036,2.504401,
0.026000,2.493542,2.504768,
0.028000,2.493049,2.505134,
0.030000,2.492556,2.505500,
0.032000,2.492064,2.505866,
0.034000,2.491572,2.506232,
0.036000,2.491081,2.506598,
0.038000,2.490590,2.506964,
0.040000,2.490100,2.507330,
0.042000,2.489610,2.507696,
0.044000,2.489121,2.508062,
0.046000,2.488632,2.508427,
0.048000,2.488144,2.508793,
0.050000,2.487656,2.509158,
0.052000,2.487169,2.509524,
0.054000,2.486682,2.509889,
0.056000,2.486196,2.510255,
0.058000,2.485710,2.510620,
0.060000,2.485225,2.510985,
0.062000,2.484740,2.511350,
0.064000,2.484255,2.511715,
0.066000,2.483772,2.512080,
0.068000,2.483288,2.512445,
0.070000,2.482806,2.512810,
0.072000,2.482323,2.513175,
0.074000,2.481841,2.513540,
0.076000,2.481360,2.513905,
0.078000,2.480879,2.514269,
0.080000,2.480399,2.514634,
0.082000,2.479919,2.514998,
0.084000,2.479440,2.515363,
0.086000,2.478961,2.515727,
0.088000,2.478483,2.516091,
0.090000,2.478005,2.516456,
0.092000,2.477527,2.516820,
0.094000,2.477051,2.517184,
0.096000,2.476574,2.517548,
0.098000,2.476098,2.517912,
0.100000,2.475623,2.518276,
0.102000,2.475148,2.518640,
0.104000,2.474674,2.519003,
0.106000,2.474200,2.519367,
0.108000,2.473726,2.519731,
0.110000,2.473253,2.520094,
0.112000,2.472781,2.520458,
0.114000,2.472309,2.520821,
0.116000,2.471838,2.521185,
0.118000,2.471367,2.521548,
0.120000,2.470896,2.521911,
0.122000,2.470426,2.522274,
0.124000,2.469957,2.522638,
0.126000,2.469488,2.523001,
0.128000,2.469020,2.523364,
0.130000,2.468552,2.523727,
0.132000,2.468084,2.524089,
0.134000,2.467617,2.524452,
0.136000,2.467151,2.524815,
0.138000,2.466685,2.525178,
0.140000,2.466219,2.525540,
0.142000,2.465754,2.525903,
0.144000,2.465290,2.526265,
0.146000,2.464826,2.526628,
0.148000,2.464362,2.526990,
0.150000,2.463899,2.527352,
0.152000,2.463437,2.527714,
0.154000,2.462975,2.528077,
0.156000,2.462513,2.528439,
0.158000,2.462052,2.528801,
0.160000,2.461592,2.529163,
0.162000,2.461131,2.529524,
0.164000,2.460672,2.529886,
0.166000,2.460213,2.530248,
0.168000,2.459754,2.530610,
0.170000,2.459296,2.530971,
0.172000,2.458838,2.531333,
0.174000,2.458381,2.531694,
0.176000,2.457925,2.532056,
0.178000,2.457469,2.532417,
0.180000,2.457013,2.532778,
0.182000,2.456558,2.533140,
0.184000,2.456103,2.533501,
0.186000,2.455649,2.533862,
0.188000,2.455195,2.534223,
0.190000,2.454742,2.534584,
0.192000,2.454289,2.534945,
0.194000,2.453837,2.535306,
0.196000,2.453385,2.535666,
0.198000,2.452934,2.536027,
0.200000,2.452483,2.536388,
0.202000,2.452033,2.536748,
0.204000,2.451583,2.537109,
0.206000,2.451134,2.537469,
0.208000,2.450685,2.537830,
0.210000,2.450237,2.538190,
0.212000,2.449789,2.538550,
0.214000,2.449342,2.538910,
0.216000,2.448895,2.539270,
0.218000,2.448449,2.539630,
0.220000,2.448003,2.539990,
0.222000,2.447558,2.540350,
0.224000,2.447113,2.540710,
0.226000,2.446668,2.541070,
0.228000,2.446224,2.541430,
0.230000,2.445781,2.541789,
0.232000,2.445338,2.542149,
0.234000,2.444896,2.542508,
0.236000,2.444454,2.542868,
0.238000,2.444012,2.543227,
0.240000,2.443571,2.543587,
0.242000,2.443131,2.543946,
0.244000,2.442691,2.544305,
0.246000,2.442251,2.544664,
0.248000,2.441812,2.545023,
0.250000,2.441374,2.545382,
0.252000,2.440936,2.545741,
0.254000,2.440498,2.546100,
0.256000,2.440061,2.546459,
0.258000,2.439625,2.546818,
0.260000,2.439189,2.547176,
0.262000,2.438753,2.547535,
0.264000,2.438318,2.547893,
0.266000,2.437883,2.548252,
0.268000,2.437449,2.548610,
0.270000,2.437016,2.548969,
0.272000,2.436582,2.549327,
0.274000,2.436150,2.549685,
0.276000,2.435717,2.550043,
0.278000,2.435286,2.550401,
0.280000,2.434855,2.550759,
0.282000,2.434424,2.551117,
0.284000,2.433994,2.551475,
0.286000,2.433564,2.551833,
0.288000,2.433135,2.552191,
0.290000,2.432706,2.552548,
0.292000,2.432278,2.552906,
0.294000,2.431850,2.553264,
0.296000,2.431422,2.553621,
0.298000,2.430996,2.553979,
0.300000,2.430569,2.554336,
0.302000,2.430143,2.554693,
0.304000,2.429718,2.555050,
0.306000,2.429293,2.555408,
0.308000,2.428869,2.555765,
0.310000,2.428445,2.556122,
0.312000,2.428021,2.556479,
0.314000,2.427598,2.556836,
0.316000,2.427176,2.557192,
0.318000,2.426754,2.557549,
0.320000,2.426332,2.557906,
0.322000,2.425911,2.558263,
0.324000,2.425491,2.558619,
0.326000,2.425071,2.558976,
0.328000,2.424651,2.559332,
0.330000,2.424232,2.559688,
0.332000,2.423813,2.560045,
0.334000,2.423395,2.560401,
0.336000,2.422978,2.560757,
0.338000,2.422560,2.561113,
0.340000,2.422144,2.561469,
0.342000,2.421728,2.561825,
0.344000,2.421312,2.562181,
0.346000,2.420897,2.562537,
