Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.006000,2.498501,2.501101,
0.014000,2.496507,2.502569,
0.030000,2.492534,2.505500,
0.062000,2.484644,2.511350,
0.126000,2.469093,2.523001,
0.254000,2.438899,2.546102,
0.510000,2.382090,2.591516,
1.022000,2.282365,2.679255,
2.046000,2.135267,2.842852,
4.094000,1.924947,3.126871,
8.190000,1.613085,3.559846,
12.286000,1.268182,3.871446,
16.382000,1.177760,4.086319,
20.478000,1.117825,4.233300,
24.574000,1.021394,4.334515,
28.670000,1.014180,4.406068,
36.862000,1.006023,4.487634,
45.054000,0.976836,4.544996,
53.246000,0.844162,4.549555,
61.438000,0.933813,4.562399,
69.630000,0.926417,4.556489,
77.822000,0.968748,4.558602,
86.014000,0.984702,4.557790,
94.206000,0.946848,4.593051,
98.302000,0.964769,4.581237,
106.494000,0.985037,4.565906,
