Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.091362,2.477555,2.516704,
0.180933,2.456312,2.532947,
0.270748,2.435763,2.549104,
0.360813,2.415905,2.565175,
0.451134,2.396738,2.581160,
0.541717,2.378260,2.597061,
0.632570,2.360468,2.612877,
0.723697,2.343361,2.628609,
0.815106,2.326939,2.644258,
0.906802,2.311201,2.659824,
0.998793,2.296145,2.675308,
1.091083,2.281770,2.690709,
1.183680,2.268078,2.706028,
1.276590,2.255066,2.721265,
1.369819,2.242735,2.736421,
1.463372,2.231032,2.751494,
1.487580,2.228056,2.755373,
1.637336,2.209802,2.779169,
1.788071,2.191702,2.802782,
1.939985,2.173735,2.826242,
2.093086,2.155902,2.849547,
2.247381,2.138204,2.872697,
2.402881,2.120641,2.895692,
2.559592,2.103216,2.918532,
2.717525,2.085929,2.941215,
2.876687,2.068782,2.963742,
3.037088,2.051775,2.986111,
3.198734,2.034910,3.008323,
3.361636,2.018188,3.030376,
3.525801,2.001609,3.052269,
3.691238,1.985175,3.074003,
3.857955,1.968886,3.095577,
4.025961,1.952744,3.116989,
4.195265,1.936749,3.138240,
4.365874,1.920903,3.159328,
4.537799,1.905205,3.180253,
4.711047,1.889657,3.201014,
4.885628,1.874260,3.221611,
5.061551,1.859014,3.242044,
5.238825,1.843920,3.262310,
5.417459,1.828978,3.282410,
5.597463,1.814190,3.302344,
5.778846,1.799554,3.322110,
5.961619,1.785073,3.341708,
6.145791,1.770746,3.361137,
6.331374,1.756574,3.380397,
6.518376,1.742557,3.399488,
6.706810,1.728696,3.418409,
6.896686,1.714990,3.437159,
7.088016,1.701440,3.455738,
7.280810,1.688046,3.474145,
7.475082,1.674808,3.492381,
7.670843,1.661726,3.510445,
7.868106,1.648800,3.528336,
8.066883,1.636031,3.546054,
8.267188,1.623417,3.563599,
8.469034,1.610959,3.580970,
8.672436,1.598658,3.598168,
8.877407,1.586512,3.615191,
9.083963,1.574521,3.632041,
9.292118,1.562685,3.648716,
9.501888,1.551004,3.665217,
9.713289,1.539478,3.681543,
9.926336,1.528106,3.697695,
10.141048,1.516888,3.713672,
10.357442,1.505822,3.729474,
10.575534,1.494910,3.745101,
10.795344,1.484150,3.760554,
11.016890,1.473541,3.775832,
11.240192,1.463084,3.790936,
11.465269,1.452777,3.805865,
11.692141,1.442620,3.820620,
11.920830,1.432613,3.835200,
12.151356,1.422753,3.849607,
12.383743,1.413042,3.863840,
12.618012,1.403478,3.877899,
12.854187,1.394060,3.891785,
13.092291,1.384788,3.905498,
13.332350,1.375661,3.919038,
13.574388,1.366677,3.932406,
13.818431,1.357837,3.945602,
14.064506,1.338092,3.958643,
14.100431,1.333500,3.960530,
14.198928,1.321457,3.965688,
14.297754,1.310172,3.970835,
14.396931,1.299642,3.975971,
14.496465,1.289867,3.981095,
14.596360,1.280848,3.986206,
14.696618,1.272585,3.991301,
14.797245,1.265079,3.996379,
14.898244,1.258330,4.001440,
14.999619,1.252338,4.006481,
15.101374,1.247104,4.011501,
15.203514,1.242629,4.016498,
15.306041,1.238913,4.021471,
15.408961,1.235958,4.026419,
15.512277,1.233491,4.031340,
15.548329,1.232651,4.033047,
15.810032,1.226641,4.045268,
16.073906,1.220739,4.057299,
16.340158,1.214939,4.069150,
16.608824,1.209241,4.080821,
16.879941,1.203644,4.092314,
17.153547,1.198148,4.103628,
17.429680,1.192751,4.114765,
17.708382,1.187453,4.125726,
17.989692,1.182253,4.136511,
18.273653,1.177150,4.147121,
18.560309,1.172144,4.157558,
18.849704,1.167233,4.167822,
19.141885,1.162417,4.177914,
19.436899,1.157696,4.187835,
19.734795,1.153067,4.197586,
20.035623,1.148531,4.207169,
20.339435,1.144086,4.216584,
20.646284,1.139731,4.225832,
20.956226,1.135467,4.234915,
21.269317,1.131291,4.243833,
21.585616,1.127203,4.252588,
21.905182,1.123202,4.261180,
22.228079,1.119287,4.269612,
22.554369,1.115458,4.277883,
22.884120,1.111712,4.285996,
23.217398,1.108050,4.293951,
23.554276,1.104471,4.301750,
23.894824,1.100973,4.309394,
24.239120,1.097555,4.316884,
24.587239,1.094217,4.324221,
24.939262,1.090958,4.331408,
25.295273,1.087777,4.338444,
25.655357,1.084672,4.345331,
26.019602,1.081643,4.352072,
26.388100,1.078689,4.358666,
26.760947,1.075809,4.365115,
27.138240,1.073002,4.371421,
27.520081,1.070267,4.377586,
27.906577,1.067603,4.383609,
28.297837,1.041354,4.389596,
28.318794,1.039626,4.389915,
28.421583,1.031645,4.391481,
28.524711,1.024459,4.393052,
28.628211,1.018065,4.394626,
28.732087,1.012465,4.396201,
28.836341,1.007658,4.397777,
28.940978,1.003644,4.399351,
29.046001,1.000425,4.400921,
29.151413,0.997999,4.402487,
29.257218,0.996368,4.404046,
29.363420,0.995533,4.405597,
29.470022,0.995417,4.407138,
29.497396,0.995429,4.407532,
29.887149,0.995604,4.413013,
30.281817,0.995774,4.418348,
30.681926,0.995940,4.423544,
31.087620,0.996101,4.428603,
31.499049,0.996259,4.433525,
31.916371,0.996412,4.438314,
32.339749,0.996560,4.442970,
32.769354,0.996705,4.447495,
33.205363,0.996846,4.451891,
33.647962,0.996982,4.456160,
34.097347,0.997115,4.460303,
34.553721,0.997244,4.464323,
35.017296,0.997368,4.468221,
35.488295,0.997489,4.471999,
35.966953,0.997607,4.475658,
36.453514,0.997721,4.479201,
36.948236,0.997831,4.482629,
37.451388,0.997937,4.485945,
37.963256,0.998040,4.489149,
38.484137,0.998139,4.492244,
39.014348,0.998236,4.495232,
