RK23 Using Bisection Time Stepping,,RK23 Using Constant E.h Time Stepping,,RK23 Using O(h) Stepping,,RK23 Without Time Stepping,,RK23 Using Bisection Time Stepping,,RK23 Using Constant E.h Time Stepping,,RK23 Using O(h) Stepping,,RK23 Without Time Stepping,
,,1.357071,2.209162,3.036046,1.970654,0.082,2.479684,,,1.70194,2.149836,4.942931,1.801016,0.082,2.479684
,,1.457185,2.191361,3.116399,1.962268,0.084,2.479193,,,1.834297,2.128543,5.119701,1.786981,0.084,2.479193
,,1.562236,2.173194,3.197003,1.954118,0.086,2.478703,,,1.973696,2.106984,5.297856,1.773084,0.086,2.478703
,,1.672322,2.154714,3.27786,1.946203,0.088,2.478212,,,2.120307,2.085257,5.477405,1.759327,0.088,2.478212
,,1.787532,2.135977,3.358973,1.938517,0.09,2.477722,,,2.274291,2.063466,5.658358,1.74571,0.09,2.477722
,,1.907955,2.117045,3.390464,1.935566,0.092,2.477232,,,2.435807,2.041725,5.840726,1.732234,0.092,2.477232
,,2.033675,2.097983,3.502755,1.925119,0.094,2.476742,,,2.605008,2.020156,6.024517,1.716618,0.094,2.476742
,,2.164771,2.078862,3.615303,1.914766,0.096,2.476253,,,2.782044,1.998886,6.034601,1.714897,0.096,2.476253
,,2.301319,2.059754,3.728443,1.904474,0.098,2.475763,,,2.967059,1.978052,6.149995,1.695539,0.098,2.475763
,,2.44339,2.040738,3.842174,1.894246,0.1,2.475274,,,3.160193,1.957797,6.26582,1.676732,0.1,2.475274
,,2.591054,2.021895,3.9565,1.88408,0.102,2.474785,,,3.361582,1.938246,6.382121,1.658469,0.102,2.474785
,,2.744374,2.00331,4.071424,1.873978,0.104,2.474296,,,3.565959,1.919265,6.498904,1.640747,0.104,2.474296
,,2.903411,1.985069,4.186948,1.86394,0.106,2.473808,,,3.780815,1.899724,6.616178,1.623568,0.106,2.473808
,,3.068223,1.967264,4.303075,1.853965,0.108,2.47332,,,4.006411,1.879653,6.733948,1.606931,0.108,2.47332
,,3.238865,1.949987,4.419807,1.844055,0.11,2.472832,,,4.243002,1.859085,6.852223,1.590834,0.11,2.472832
,,3.415386,1.933245,4.537147,1.834208,0.112,2.472344,,,4.49084,1.838055,6.971008,1.575279,0.112,2.472344
,,3.591908,1.916915,4.655099,1.824427,0.114,2.471856,,,4.750175,1.8166,7.090311,1.560264,0.114,2.471856
,,3.776153,1.900176,4.773665,1.81471,0.116,2.471369,,,5.021254,1.79476,7.210138,1.545789,0.116,2.471369
,,3.968251,1.883049,4.892847,1.805057,0.118,2.470881,,,5.304321,1.772577,7.330498,1.531855,0.118,2.470881
,,4.168333,1.865556,5.012648,1.79547,0.12,2.470394,,,5.59962,1.750096,7.451396,1.518462,0.12,2.470394
,,4.376524,1.847723,5.133072,1.785948,0.122,2.469908,,,5.907389,1.727361,7.572839,1.505608,0.122,2.469908
,,4.592945,1.829573,5.254122,1.776492,0.124,2.469421,,,6.227868,1.682999,7.694834,1.493295,0.124,2.469421
,,4.817714,1.811135,5.375799,1.767101,0.126,2.468935,,,6.538436,1.635049,7.817389,1.481523,0.126,2.468935
,,5.050947,1.792436,5.498108,1.757776,0.128,2.468449,,,6.857385,1.590295,7.94051,1.470292,0.128,2.468449
,,5.292757,1.773504,5.621052,1.748516,0.13,2.467963,,,7.184785,1.548939,8.064204,1.459602,0.13,2.467963
,,5.543252,1.754368,5.744632,1.739323,0.132,2.467477,,,7.520706,1.511179,8.188478,1.449454,0.132,2.467477
,,5.802541,1.73506,5.868854,1.730196,0.134,2.466992,,,7.86522,1.477204,8.313339,1.439848,0.134,2.466992
,,6.070729,1.703702,5.993719,1.721135,0.136,2.466506,,,8.2184,1.447201,8.438793,1.430784,0.136,2.466506
,,6.326408,1.662202,6.119231,1.702648,0.138,2.466021,,,8.580324,1.421348,8.564848,1.422263,0.138,2.466021
,,6.587357,1.622923,6.125629,1.701582,0.14,2.465536,,,8.951068,1.399818,8.691511,1.414286,0.14,2.465536
,,6.853589,1.585968,6.204165,1.688658,0.142,2.465052,,,9.330715,1.382776,8.818789,1.406853,0.142,2.465052
,,7.12512,1.551439,6.282728,1.676015,0.144,2.464568,,,9.719348,1.368175,8.946688,1.399964,0.144,2.464568
,,7.401964,1.519433,6.361511,1.663621,0.146,2.464083,,,10.120829,1.353685,9.075216,1.393622,0.146,2.464083
,,7.684139,1.490043,6.440515,1.651477,0.148,2.463599,,,10.53743,1.339252,9.20438,1.387825,0.148,2.463599
,,7.971664,1.463359,6.519742,1.639581,0.15,2.463116,,,10.96942,1.324907,9.334188,1.382575,0.15,2.463116
,,8.264556,1.439467,6.599195,1.627934,0.152,2.462632,,,11.417069,1.310682,9.436427,1.378684,0.152,2.462632
,,8.562837,1.418451,6.678874,1.616536,0.154,2.462149,,,11.880652,1.296607,9.648629,1.370733,0.154,2.462149
,,8.866529,1.400389,6.758784,1.605386,0.156,2.461666,,,12.360448,1.251772,9.862487,1.362888,0.156,2.461666
,,9.175656,1.385357,6.838926,1.594485,0.158,2.461183,,,12.823475,1.203172,10.07811,1.355147,0.158,2.461183
,,9.490242,1.373099,6.919301,1.583832,0.16,2.4607,,,13.293887,1.162482,10.295516,1.347509,0.16,2.4607
,,9.800959,1.361684,6.999912,1.573427,0.162,2.460218,,,13.771806,1.129697,10.514723,1.339974,0.162,2.460218
,,10.121937,1.350259,7.080762,1.563271,0.164,2.459736,,,14.257356,1.104806,10.735751,1.332542,0.164,2.459736
,,10.453293,1.338843,7.161853,1.553362,0.166,2.459254,,,14.750669,1.087794,10.958619,1.325213,0.166,2.459254
,,10.795145,1.327456,7.243185,1.543702,0.168,2.458772,,,15.251881,1.078641,11.183347,1.317985,0.168,2.458772
,,11.14761,1.316115,7.324763,1.53429,0.17,2.45829,,,15.761132,1.074381,11.409958,1.31086,0.17,2.45829
,,11.510805,1.30484,7.406587,1.525126,0.172,2.457809,,,16.270384,1.070687,11.638472,1.303837,0.172,2.457809
,,11.884849,1.293648,7.48866,1.516209,0.174,2.457328,,,16.797849,1.067055,11.868911,1.296915,0.174,2.457328
,,12.26986,1.254284,7.570985,1.507541,0.176,2.456847,,,17.34389,1.063491,12.101298,1.279699,0.176,2.456847
,,12.637812,1.213901,7.653562,1.499122,0.178,2.456366,,,17.908877,1.060003,12.130651,1.27605,0.178,2.456366
,,13.009678,1.178623,7.736395,1.49095,0.18,2.455886,,,18.493197,1.020364,12.253014,1.261231,0.18,2.455886
,,13.385523,1.148412,7.819485,1.483027,0.182,2.455405,,,19.056017,0.977247,12.375883,1.246981,0.182,2.455405
,,13.765411,1.123235,7.902835,1.475352,0.184,2.454925,,,19.624892,0.945454,12.4993,1.233296,0.184,2.454925
,,14.14941,1.103056,7.986447,1.467925,0.186,2.454446,,,20.200038,0.92469,12.623272,1.220176,0.186,2.454446
,,14.53759,1.08784,8.070323,1.460747,0.188,2.453966,,,20.781678,0.914679,12.747805,1.20762,0.188,2.453966
,,14.930022,1.077553,8.154464,1.453818,0.19,2.453486,,,21.370035,0.915076,12.872906,1.19563,0.19,2.453486
,,15.326779,1.07216,8.238874,1.447137,0.192,2.453007,,,21.958392,0.91993,12.998581,1.184204,0.192,2.453007
,,15.727935,1.069305,8.323554,1.440705,0.194,2.452528,,,22.567037,0.924659,13.124835,1.173343,0.194,2.452528
,,16.135621,1.066536,8.408506,1.434522,0.196,2.45205,,,23.196433,0.929256,13.251677,1.163047,0.196,2.45205
,,16.555582,1.0638,8.493733,1.428589,0.198,2.451571,,,23.847061,0.933713,13.379111,1.153317,0.198,2.451571
,,16.987978,1.0611,8.579237,1.422905,0.2,2.451093,,,24.51943,0.896541,13.507144,1.144152,0.2,2.451093
,,17.432972,1.058441,8.66502,1.41747,0.202,2.450615,,,25.166022,0.856248,13.635782,1.135554,0.202,2.450615
,,17.890735,1.055826,8.751084,1.412285,0.204,2.450137,,,25.812615,0.830628,13.765033,1.127523,0.204,2.450137
,,18.361438,1.019483,8.837431,1.407351,0.206,2.449659,,,26.464139,0.818719,13.894903,1.120058,0.206,2.449659
,,18.810343,0.982467,8.924063,1.402666,0.208,2.449182,,,27.120922,0.819953,14.025397,1.113161,0.208,2.449182
,,19.259248,0.952988,9.010983,1.398231,0.21,2.448704,,,27.783293,0.830297,14.156523,1.106831,0.21,2.448704
,,19.708153,0.930715,9.098193,1.394048,0.212,2.448227,,,28.438426,0.841061,14.288288,1.101071,0.212,2.448227
,,20.157058,0.915331,9.185695,1.390115,0.214,2.44775,,,29.115158,0.851463,14.420698,1.095879,0.214,2.44775
,,20.605963,0.906534,9.273491,1.386433,0.216,2.447274,,,29.814032,0.861492,14.55376,1.091256,0.216,2.447274
,,21.05805,0.90404,9.361584,1.382995,0.218,2.446797,,,30.535623,0.826765,14.68748,1.087204,0.218,2.446797
,,21.513455,0.907297,9.394228,1.381747,0.22,2.446321,,,31.22899,0.789131,14.821866,1.083723,0.22,2.446321
,,21.962086,0.911364,9.538098,1.376294,0.222,2.445845,,,31.922356,0.767955,14.956924,1.080813,0.222,2.445845
,,22.424286,0.915367,9.682249,1.370908,0.224,2.44537,,,32.615722,0.762137,15.092663,1.078476,0.224,2.44537
,,22.900265,0.919301,9.827196,1.365571,0.226,2.444894,,,33.309088,0.770646,15.229088,1.076712,0.226,2.444894
,,23.390241,0.92316,9.972943,1.360281,0.228,2.444419,,,34.007464,0.785977,15.366206,1.075505,0.228,2.444419
,,23.89444,0.926938,10.119496,1.35504,0.23,2.443944,,,34.713667,0.800574,15.405863,1.075206,0.23,2.443944
,,24.413098,0.893904,10.266859,1.349846,0.232,2.443469,,,35.441808,0.814583,15.663137,1.073296,0.232,2.443469
,,24.907232,0.860384,10.415039,1.3447,0.234,2.442994,,,36.192468,0.794871,15.922674,1.071418,0.234,2.442994
,,25.401367,0.835626,10.564042,1.339602,0.236,2.44252,,,36.936726,0.750029,16.184687,1.069571,0.236,2.44252
,,25.895501,0.81921,10.713874,1.334552,0.238,2.442045,,,37.680984,0.724422,16.449214,1.067755,0.238,2.442045
,,26.389636,0.810732,10.864541,1.329549,0.24,2.441571,,,38.425242,0.716672,16.716294,1.065969,0.24,2.441571
,,26.883771,0.80981,11.01605,1.324594,0.242,2.441098,,,39.169501,0.725496,16.985969,1.064214,0.242,2.441098
,,27.377905,0.816079,11.168406,1.319686,0.244,2.440624,,,39.913759,0.744155,17.258281,1.062489,0.244,2.440624
,,27.87204,0.824947,11.321617,1.314825,0.246,2.440151,,,40.651003,0.762344,17.533272,1.060793,0.246,2.440151
,,28.380177,0.833619,11.475689,1.310012,0.248,2.439677,,,41.409622,0.779711,17.810989,1.059128,0.248,2.439677
,,28.902556,0.842088,11.630628,1.305246,0.25,2.439205,,,42.1902,0.787058,18.091476,1.044891,0.25,2.439205
,,29.439426,0.850342,11.786442,1.300526,0.252,2.438732,,,42.936307,0.742641,18.126714,1.041331,0.252,2.438732
,,29.991048,0.858374,11.943139,1.295854,0.254,2.438259,,,43.682413,0.717515,18.253421,1.028937,0.254,2.438259
,,30.557698,0.827784,12.100723,1.279217,0.256,2.437787,,,44.428519,0.710294,18.380665,1.01713,0.256,2.437787
,,31.097202,0.797382,12.108313,1.278271,0.258,2.437315,,,45.174626,0.719689,18.50849,1.005906,0.258,2.437315
,,31.636706,0.777078,12.191275,1.268081,0.26,2.436843,,,45.920732,0.738843,18.636901,0.995264,0.26,2.436843
,,32.17621,0.766341,12.274271,1.258177,0.262,2.436371,,,46.660032,0.757459,18.765905,0.985204,0.262,2.436371
,,32.715714,0.764668,12.357517,1.248533,0.264,2.4359,,,47.42087,0.775233,18.895507,0.975727,0.264,2.4359
