Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.004338,2.498917,2.500796,
0.007058,2.498239,2.501295,
0.010209,2.497454,2.501873,
0.013842,2.496552,2.502539,
0.018013,2.495517,2.503304,
0.022783,2.494337,2.504178,
0.028215,2.492996,2.505173,
0.034378,2.491479,2.506301,
0.041343,2.489771,2.507576,
0.049186,2.487854,2.509010,
0.057986,2.485713,2.510617,
0.067826,2.483330,2.512414,
0.078793,2.480689,2.514414,
0.090975,2.477772,2.516633,
0.104465,2.474563,2.519088,
0.119358,2.471047,2.521795,
0.135751,2.467209,2.524770,
0.153744,2.463034,2.528030,
0.173438,2.458510,2.531593,
0.194935,2.453626,2.535474,
0.218342,2.448373,2.539692,
0.243761,2.442744,2.544262,
0.271298,2.436734,2.549201,
0.301060,2.430343,2.554525,
0.333152,2.423572,2.560250,
0.367680,2.416427,2.566391,
0.404747,2.408915,2.572961,
0.444458,2.401051,2.579975,
0.486914,2.392852,2.587446,
0.532217,2.384339,2.595386,
0.580465,2.375541,2.603805,
0.631755,2.366489,2.612713,
0.686182,2.357221,2.622120,
0.743838,2.347780,2.632032,
0.804811,2.338215,2.642456,
0.869188,2.328582,2.653397,
0.937054,2.318941,2.664858,
1.008488,2.309360,2.676841,
1.083567,2.299566,2.689347,
1.163697,2.289194,2.702596,
1.249060,2.278236,2.716597,
1.339836,2.266685,2.731362,
1.436201,2.254537,2.746896,
1.538329,2.241790,2.763204,
1.646392,2.228443,2.780289,
1.760557,2.214498,2.798149,
1.880988,2.199960,2.816782,
2.007845,2.184834,2.836181,
2.141285,2.169128,2.856340,
2.281459,2.152854,2.877246,
2.428518,2.136025,2.898887,
2.582605,2.118654,2.921247,
2.743862,2.100760,2.944309,
2.912426,2.082360,2.968050,
3.088430,2.063477,2.992450,
3.272004,2.044133,3.017482,
3.463273,2.024351,3.043121,
3.662360,2.004159,3.069336,
3.869385,1.983585,3.096099,
4.084462,1.962656,3.123377,
4.307705,1.941403,3.151135,
4.539224,1.919858,3.179340,
4.779125,1.898053,3.207954,
5.027513,1.876022,3.236941,
5.284490,1.853797,3.266261,
5.550157,1.831413,3.295877,
5.824611,1.808905,3.325747,
6.107948,1.786307,3.355833,
6.400264,1.763655,3.386093,
6.701652,1.740982,3.416487,
7.012204,1.718324,3.446974,
7.332014,1.695715,3.477513,
7.661171,1.673188,3.508064,
7.999768,1.650776,3.538586,
8.347896,1.628510,3.569040,
8.705647,1.606422,3.599386,
9.073112,1.584543,3.629586,
9.450386,1.562900,3.659603,
9.837563,1.541523,3.689401,
10.234741,1.517586,3.718946,
10.621533,1.481658,3.746830,
11.008325,1.432418,3.773979,
11.395117,1.378071,3.800501,
11.789647,1.324760,3.826935,
12.191984,1.272518,3.853254,
12.602198,1.221373,3.879432,
13.020365,1.171353,3.905442,
13.446564,1.122478,3.931259,
13.880877,1.074771,3.956857,
14.323391,1.028248,3.982213,
14.774195,0.982923,4.007303,
15.233386,0.938809,4.032103,
15.701062,0.895913,4.056592,
16.177327,0.854244,4.080748,
16.662291,0.813805,4.104551,
17.156069,0.774597,4.127981,
17.658780,0.736619,4.151021,
18.170550,0.699869,4.173652,
18.691511,0.664342,4.195860,
19.221800,0.630030,4.217628,
19.761563,0.596925,4.238944,
20.310950,0.569881,4.259787,
20.842246,0.570347,4.279004,
21.368531,0.590599,4.296944,
21.879346,0.610986,4.313291,
22.400349,0.630735,4.328943,
22.931718,0.649845,4.343905,
23.473639,0.668316,4.358187,
24.026312,0.686150,4.371797,
24.589946,0.703350,4.384747,
25.164759,0.719921,4.397048,
25.750983,0.735868,4.408714,
26.348863,0.751198,4.419759,
26.958656,0.765916,4.430198,
27.580632,0.780032,4.440045,
28.215076,0.793555,4.449318,
28.862289,0.806493,4.458034,
29.522586,0.818858,4.466209,
30.196300,0.829825,4.473862,
30.855974,0.806877,4.480912,
31.505321,0.758131,4.487873,
32.134789,0.711879,4.494744,
32.771424,0.667971,4.501776,
33.415518,0.626303,4.508934,
34.067368,0.586779,4.516181,
34.727274,0.549307,4.523488,
35.395543,0.513797,4.530826,
36.072490,0.480167,4.538168,
36.758435,0.448334,4.545491,
37.453707,0.418221,4.552773,
38.158643,0.389754,4.559993,
38.873590,0.362861,4.567134,
39.598902,0.337473,4.574180,
40.334947,0.318463,4.581114,
41.042907,0.344059,4.587291,
41.738357,0.388127,4.592513,
42.440183,0.429598,4.596941,
43.148760,0.468617,4.600639,
43.864471,0.505320,4.603668,
44.587702,0.539835,4.606084,
45.318849,0.572279,4.607941,
46.058315,0.602767,4.609290,
46.806512,0.631404,4.610176,
47.563863,0.658289,4.610643,
48.330799,0.683517,4.610733,
49.107765,0.707176,4.610484,
49.895218,0.729351,4.609932,
50.693628,0.725379,4.609226,
51.472371,0.676050,4.609015,
52.220048,0.627346,4.609483,
52.972933,0.581847,4.610533,
53.731518,0.539341,4.612085,
54.496291,0.499631,4.614065,
55.267740,0.462535,4.616409,
56.046354,0.427887,4.619059,
56.832624,0.395532,4.621963,
57.627045,0.365325,4.625077,
58.430116,0.337133,4.628358,
59.242342,0.310832,4.631770,
60.064237,0.286306,4.635281,
60.896321,0.302234,4.638670,
61.709550,0.354965,4.641211,
62.498622,0.403907,4.642842,
63.287695,0.449136,4.643747,
64.076768,0.490934,4.644019,
64.871724,0.529836,4.643739,
65.673082,0.566044,4.642972,
66.481366,0.599741,4.641779,
67.297103,0.631096,4.640215,
68.120827,0.660266,4.638330,
68.953077,0.687396,4.636169,
69.794401,0.712621,4.633774,
