Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.006000,2.498502,2.501101,
0.014000,2.496512,2.502569,
0.030000,2.492556,2.505500,
0.062000,2.484740,2.511350,
0.126000,2.469488,2.523001,
0.254000,2.440497,2.546100,
0.510000,2.388471,2.591496,
1.022000,2.307377,2.679097,
2.046000,2.180056,2.842065,
4.094000,1.961008,3.125250,
8.190000,1.634816,3.559171,
16.382000,0.884695,4.114302,
24.574000,0.703007,4.386249,
32.766000,0.637864,4.516441,
40.958000,0.364213,4.593162,
49.150000,0.726241,4.617877,
65.534000,0.827415,4.517593,
73.726000,0.636418,4.565075,
81.918000,0.367911,4.613524,
90.110000,0.725031,4.626008,
98.302000,0.482844,4.630371,
106.494000,0.581588,4.625580,
