Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.098516,2.475733,2.518006,
0.195279,2.452600,2.535537,
0.292331,2.430090,2.552969,
0.389680,2.408200,2.570302,
0.487330,2.386929,2.587537,
0.585290,2.366275,2.604675,
0.683565,2.346236,2.621716,
0.782163,2.326812,2.638662,
0.881090,2.308000,2.655513,
0.980352,2.289800,2.672270,
1.079956,2.272211,2.688933,
1.179908,2.255232,2.705503,
1.280216,2.238861,2.721980,
1.380886,2.223100,2.738365,
1.481924,2.207946,2.754658,
1.583337,2.193400,2.770858,
1.685132,2.179461,2.786968,
1.787315,2.166130,2.802985,
1.889892,2.153406,2.818912,
1.992870,2.141289,2.834747,
2.096256,2.129540,2.850490,
2.149253,2.123569,2.858502,
2.304130,2.106302,2.881686,
2.460078,2.089183,2.904694,
2.617251,2.072197,2.927545,
2.775657,2.055347,2.950240,
2.935305,2.038632,2.972777,
3.096203,2.022054,2.995157,
3.258359,2.005614,3.017378,
3.421783,1.989313,3.039439,
3.586482,1.973153,3.061341,
3.752465,1.957133,3.083082,
3.919741,1.941255,3.104662,
4.088319,1.925521,3.126080,
4.258206,1.909930,3.147335,
4.429412,1.894484,3.168426,
4.601945,1.879183,3.189353,
4.775814,1.864029,3.210116,
4.951029,1.849021,3.230713,
5.127598,1.834161,3.251144,
5.305531,1.819450,3.271407,
5.484837,1.804887,3.291504,
5.665525,1.790474,3.311432,
5.847606,1.776211,3.331191,
6.031090,1.762099,3.350781,
6.215986,1.748137,3.370201,
6.402305,1.734327,3.389451,
6.590058,1.720668,3.408529,
6.779255,1.707161,3.427436,
6.969908,1.693806,3.446171,
7.162028,1.680604,3.464734,
7.355627,1.667554,3.483123,
7.550717,1.654656,3.501339,
7.747310,1.641912,3.519381,
7.945420,1.629320,3.537249,
8.145058,1.616880,3.554943,
8.346238,1.604594,3.572462,
8.548975,1.592460,3.589806,
8.753281,1.580478,3.606975,
8.959173,1.568648,3.623968,
9.166664,1.556971,3.640786,
9.375770,1.545445,3.657428,
9.586506,1.534070,3.673893,
9.798890,1.522847,3.690183,
10.012937,1.509116,3.706297,
10.024323,1.507409,3.707146,
10.129724,1.492008,3.714982,
10.235490,1.477272,3.722795,
10.341658,1.463194,3.730585,
10.448235,1.449777,3.738351,
10.555225,1.437018,3.746092,
10.662633,1.424918,3.753807,
10.770465,1.413479,3.761494,
10.878725,1.402698,3.769153,
10.987420,1.392578,3.776781,
11.096552,1.383118,3.784378,
11.206129,1.374319,3.791943,
11.316155,1.366181,3.799473,
11.426634,1.358704,3.806968,
11.537573,1.351890,3.814427,
11.648976,1.345739,3.821847,
11.760849,1.340251,3.829228,
11.873196,1.335428,3.836569,
11.986024,1.331270,3.843868,
12.099336,1.327515,3.851123,
12.146748,1.325966,3.854137,
12.380303,1.318440,3.868796,
12.615675,1.311033,3.883258,
12.853034,1.303737,3.897532,
13.092402,1.296552,3.911619,
13.333807,1.289479,3.925520,
13.577273,1.282516,3.939235,
13.822828,1.275663,3.952763,
14.070500,1.268919,3.966107,
14.320316,1.262284,3.979265,
14.572307,1.255757,3.992240,
14.826502,1.249338,4.005031,
15.082932,1.243025,4.017639,
15.341629,1.236818,4.030065,
15.602625,1.230717,4.042309,
15.865954,1.224721,4.054372,
16.131651,1.218828,4.066255,
16.399751,1.213039,4.077958,
16.670290,1.207353,4.089483,
16.943306,1.201768,4.100830,
17.218837,1.196285,4.112000,
17.496924,1.190901,4.122993,
17.777606,1.185617,4.133812,
18.060927,1.180432,4.144456,
18.346928,1.175344,4.154926,
18.635655,1.170354,4.165223,
18.927154,1.165459,4.175349,
19.221470,1.160660,4.185305,
19.518653,1.155956,4.195090,
19.818753,1.151345,4.204707,
20.121821,1.133512,4.214179,
20.164392,1.129001,4.215499,
20.275216,1.117769,4.218925,
20.386448,1.107235,4.222350,
20.498120,1.097395,4.225773,
20.610235,1.088249,4.229193,
20.722799,1.079799,4.232607,
20.835815,1.072043,4.236015,
20.949287,1.064983,4.239414,
21.063221,1.058618,4.242803,
21.177621,1.052949,4.246181,
21.292491,1.047976,4.249547,
21.407837,1.043699,4.252897,
21.523661,1.040120,4.256232,
21.639971,1.037239,4.259549,
21.756769,1.035055,4.262847,
21.874060,1.033571,4.266125,
21.991851,1.032785,4.269381,
22.110145,1.032386,4.272613,
22.170116,1.032192,4.274237,
22.488130,1.031184,4.282693,
22.809448,1.030198,4.290973,
23.134371,1.029233,4.299085,
23.462973,1.028288,4.307029,
23.795330,1.027363,4.314808,
24.131521,1.026458,4.322423,
24.471628,1.025573,4.329875,
24.815736,1.024708,4.337166,
25.163931,1.023863,4.344297,
25.516304,1.023036,4.351269,
25.872950,1.022229,4.358086,
26.233964,1.021441,4.364747,
26.599448,1.020672,4.371254,
26.969505,1.019920,4.377609,
27.344245,1.019188,4.383814,
27.723779,1.018473,4.389870,
28.108224,1.017776,4.395779,
28.497700,1.017097,4.401542,
28.892335,1.016436,4.407162,
29.292258,1.015791,4.412639,
29.697606,1.015164,4.417975,
30.108519,0.996249,4.423214,
30.175716,0.990053,4.424072,
30.288715,0.980233,4.425520,
30.402142,0.971125,4.426977,
30.516016,0.962729,4.428444,
30.630342,0.955043,4.429917,
30.745124,0.948068,4.431396,
30.860367,0.941804,4.432878,
30.976074,0.936251,4.434362,
31.092251,0.931410,4.435847,
31.208901,0.927280,4.437330,
31.326028,0.923862,4.438811,
31.443639,0.921156,4.440288,
31.561736,0.919163,4.441758,
31.680324,0.917882,4.443221,
31.799408,0.917315,4.444675,
