Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.004344,2.498915,2.500797,
0.007079,2.498233,2.501299,
0.010255,2.497441,2.501882,
0.013926,2.496528,2.502555,
0.018152,2.495478,2.503330,
0.022995,2.494276,2.504217,
0.028523,2.492908,2.505230,
0.034809,2.491355,2.506380,
0.041928,2.489601,2.507683,
0.049961,2.487628,2.509151,
0.058992,2.485417,2.510801,
0.069111,2.482949,2.512648,
0.080410,2.480204,2.514709,
0.092984,2.477163,2.516999,
0.106933,2.473808,2.519537,
0.122359,2.470118,2.522340,
0.139368,2.466076,2.525426,
0.158068,2.461664,2.528813,
0.178568,2.456864,2.532520,
0.200980,2.451661,2.536565,
0.225417,2.446041,2.540966,
0.251996,2.439992,2.545742,
0.280829,2.433504,2.550910,
0.312035,2.426568,2.556488,
0.345728,2.419181,2.562493,
0.382025,2.411339,2.568941,
0.421041,2.403043,2.575849,
0.462890,2.394300,2.583231,
0.507685,2.385117,2.591102,
0.555539,2.375507,2.599475,
0.606561,2.365488,2.608362,
0.660859,2.355081,2.617775,
0.718538,2.344313,2.627722,
0.779701,2.333215,2.638213,
0.844450,2.321826,2.649254,
0.912880,2.310187,2.660851,
0.985086,2.298345,2.673009,
1.061159,2.286355,2.685730,
1.141187,2.274275,2.699014,
1.225253,2.262171,2.712862,
1.313438,2.250111,2.727271,
1.405819,2.238172,2.742237,
1.502470,2.226229,2.757754,
1.600148,2.214309,2.773291,
1.703652,2.201806,2.789599,
1.813154,2.188717,2.806678,
1.928824,2.175047,2.824528,
2.050826,2.160798,2.843146,
2.179321,2.145978,2.862525,
2.314467,2.130595,2.882657,
2.456417,2.114659,2.903530,
2.605320,2.098184,2.925132,
2.761323,2.081185,2.947445,
2.924566,2.063679,2.970451,
3.095189,2.045684,2.994130,
3.273324,2.027222,3.018458,
3.459102,2.008315,3.043410,
3.652649,1.988986,3.068959,
3.854090,1.969264,3.095076,
4.063542,1.949173,3.121730,
4.281123,1.928744,3.148888,
4.506946,1.908006,3.176517,
4.741121,1.886990,3.204581,
4.983757,1.865727,3.233043,
5.234957,1.844251,3.261866,
5.494825,1.822594,3.291011,
5.763462,1.800790,3.320439,
6.040965,1.778874,3.350111,
6.327433,1.756878,3.379985,
6.622961,1.734837,3.410021,
6.927642,1.712786,3.440179,
7.241572,1.690757,3.470417,
7.564842,1.668784,3.500695,
7.897545,1.646899,3.530972,
8.239773,1.625135,3.561207,
8.591619,1.603522,3.591363,
8.953175,1.582091,3.621399,
9.324536,1.560871,3.651277,
9.705797,1.539890,3.680961,
10.097053,1.519174,3.710413,
10.498404,1.498750,3.739599,
10.909949,1.478640,3.768485,
11.331791,1.458869,3.797037,
11.764036,1.439457,3.825225,
12.206792,1.420424,3.853018,
12.660173,1.401789,3.880389,
13.124295,1.383567,3.907309,
13.599279,1.365774,3.933755,
14.085250,1.348423,3.959702,
14.582340,1.294432,3.985332,
15.079430,1.259933,4.010150,
15.576520,1.243615,4.034003,
16.065500,1.231989,4.056453,
16.566548,1.220652,4.078450,
17.079819,1.209612,4.099976,
17.605476,1.198878,4.121010,
18.143686,1.188457,4.141535,
18.694628,1.178355,4.161537,
19.258487,1.168576,4.181001,
19.835457,1.159125,4.199915,
20.425742,1.150004,4.218270,
21.029556,1.141215,4.236058,
21.647125,1.132757,4.253271,
22.278686,1.124632,4.269905,
22.924488,1.116838,4.285956,
23.584793,1.109372,4.301424,
24.259877,1.102232,4.316307,
24.950031,1.095414,4.330607,
25.655562,1.088914,4.344328,
26.376791,1.082727,4.357472,
27.114060,1.076847,4.370045,
27.867726,1.071268,4.382054,
28.638168,1.022916,4.393831,
29.368764,1.000546,4.404720,
30.087707,0.999873,4.414800,
30.792401,0.999882,4.424002,
31.515194,0.999890,4.432787,
32.256512,0.999898,4.441159,
33.016807,0.999905,4.449122,
33.796552,0.999912,4.456682,
34.596253,0.999919,4.463844,
35.416440,0.999925,4.470616,
36.257676,0.999931,4.477006,
37.120556,0.999937,4.483023,
38.005712,0.999942,4.488678,
38.913811,0.999947,4.493980,
39.845561,0.999952,4.498940,
40.801713,0.999956,4.503570,
41.783063,0.999961,4.507882,
42.790457,0.947936,4.512419,
43.742532,0.940567,4.516861,
44.661881,0.945788,4.520720,
45.601222,0.950648,4.524223,
46.561337,0.955166,4.527396,
47.543052,0.959359,4.530259,
48.547239,0.963242,4.532834,
49.574822,0.966832,4.535143,
50.626779,0.970144,4.537205,
51.704144,0.973193,4.539039,
52.808017,0.975995,4.540663,
53.939563,0.978564,4.542095,
55.100020,0.980912,4.543352,
56.290708,0.983055,4.544448,
57.513027,0.943516,4.546053,
58.697060,0.949824,4.547612,
59.901205,0.955516,4.548887,
61.126761,0.960648,4.549913,
62.375082,0.965266,4.550725,
63.647578,0.969417,4.551351,
64.945726,0.973140,4.551819,
66.271074,0.976475,4.552151,
67.625247,0.979455,4.552370,
69.009957,0.982112,4.552493,
70.427006,0.924702,4.552538,
71.756360,0.905907,4.554447,
73.041110,0.917252,4.555936,
74.338531,0.927322,4.557006,
75.650175,0.936257,4.557728,
76.977613,0.944181,4.558164,
78.322444,0.951206,4.558368,
79.686302,0.957428,4.558383,
81.070860,0.962933,4.558249,
82.477841,0.967798,4.557997,
83.909023,0.972093,4.557655,
85.366248,0.933562,4.558011,
86.739358,0.940874,4.558504,
88.075013,0.948267,4.558740,
89.429050,0.954819,4.558776,
90.803121,0.960620,4.558654,
92.198918,0.965751,4.558406,
93.618191,0.970283,4.558063,
95.062747,0.974281,4.557647,
