Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.074310,2.481574,2.513597,
0.146611,2.463936,2.526739,
0.219076,2.446541,2.539826,
0.291708,2.429390,2.552859,
0.364509,2.412483,2.565838,
0.437481,2.395817,2.578762,
0.510626,2.379393,2.591634,
0.583947,2.363211,2.604452,
0.657445,2.347269,2.617218,
0.731123,2.331567,2.629931,
0.804982,2.316106,2.642593,
0.879026,2.300883,2.655203,
0.953257,2.285900,2.667762,
1.027676,2.271154,2.680269,
1.102286,2.256647,2.692726,
1.177088,2.242378,2.705133,
1.252086,2.228346,2.717489,
1.327282,2.214552,2.729796,
1.402677,2.200994,2.742052,
1.478274,2.187672,2.754260,
1.554075,2.174587,2.766417,
1.630082,2.161738,2.778526,
1.706298,2.149124,2.790586,
1.782725,2.136747,2.802597,
1.859365,2.124604,2.814559,
1.936220,2.112697,2.826473,
2.013292,2.101025,2.838338,
2.090584,2.089588,2.850156,
2.168099,2.078386,2.861925,
2.245837,2.067419,2.873646,
2.323802,2.056686,2.885319,
2.401995,2.046189,2.896944,
2.480420,2.035925,2.908521,
2.559078,2.025897,2.920050,
2.637971,2.016103,2.931532,
2.717101,2.006544,2.942966,
2.796472,1.997219,2.954352,
2.876085,1.988129,2.965690,
2.955942,1.979274,2.976980,
3.036046,1.970654,2.988223,
3.116399,1.962268,2.999418,
3.197003,1.954118,3.010565,
3.277860,1.946203,3.021664,
3.358973,1.938517,3.032715,
3.390464,1.935566,3.036983,
3.502755,1.925119,3.052102,
3.615303,1.914766,3.067098,
3.728443,1.904474,3.082017,
3.842174,1.894246,3.096859,
3.956500,1.884080,3.111622,
4.071424,1.873978,3.126308,
4.186948,1.863940,3.140915,
4.303075,1.853965,3.155443,
4.419807,1.844055,3.169893,
4.537147,1.834208,3.184264,
4.655099,1.824427,3.198556,
4.773665,1.814710,3.212768,
4.892847,1.805057,3.226901,
5.012648,1.795470,3.240954,
5.133072,1.785948,3.254927,
5.254122,1.776492,3.268820,
5.375799,1.767101,3.282633,
5.498108,1.757776,3.296365,
5.621052,1.748516,3.310017,
5.744632,1.739323,3.323588,
5.868854,1.730196,3.337078,
5.993719,1.721135,3.350487,
6.119231,1.702648,3.363826,
6.125629,1.701582,3.364502,
6.204165,1.688658,3.372784,
6.282728,1.676015,3.381022,
6.361511,1.663621,3.389236,
6.440515,1.651477,3.397426,
6.519742,1.639581,3.405592,
6.599195,1.627934,3.413735,
6.678874,1.616536,3.421852,
6.758784,1.605386,3.429945,
6.838926,1.594485,3.438013,
6.919301,1.583832,3.446055,
6.999912,1.573427,3.454072,
7.080762,1.563271,3.462064,
7.161853,1.553362,3.470029,
7.243185,1.543702,3.477968,
7.324763,1.534290,3.485881,
7.406587,1.525126,3.493767,
7.488660,1.516209,3.501625,
7.570985,1.507541,3.509457,
7.653562,1.499122,3.517261,
7.736395,1.490950,3.525037,
7.819485,1.483027,3.532785,
7.902835,1.475352,3.540504,
7.986447,1.467925,3.548195,
8.070323,1.460747,3.555857,
8.154464,1.453818,3.563489,
8.238874,1.447137,3.571091,
8.323554,1.440705,3.578664,
8.408506,1.434522,3.586207,
8.493733,1.428589,3.593718,
8.579237,1.422905,3.601199,
8.665020,1.417470,3.608649,
8.751084,1.412285,3.616067,
8.837431,1.407351,3.623454,
8.924063,1.402666,3.630808,
9.010983,1.398231,3.638129,
9.098193,1.394048,3.645418,
9.185695,1.390115,3.652674,
9.273491,1.386433,3.659896,
9.361584,1.382995,3.667084,
9.394228,1.381747,3.669733,
9.538098,1.376294,3.681313,
9.682249,1.370908,3.692762,
9.827196,1.365571,3.704122,
9.972943,1.360281,3.715393,
10.119496,1.355040,3.726575,
10.266859,1.349846,3.737667,
10.415039,1.344700,3.748671,
10.564042,1.339602,3.759585,
10.713874,1.334552,3.770410,
10.864541,1.329549,3.781146,
11.016050,1.324594,3.791792,
11.168406,1.319686,3.802350,
11.321617,1.314825,3.812819,
11.475689,1.310012,3.823200,
11.630628,1.305246,3.833491,
11.786442,1.300526,3.843694,
11.943139,1.295854,3.853808,
12.100723,1.279217,3.863851,
12.108313,1.278271,3.864333,
12.191275,1.268081,3.869577,
12.274271,1.258177,3.874797,
12.357517,1.248533,3.880006,
12.441014,1.239147,3.885202,
12.524764,1.230021,3.890386,
12.608769,1.221154,3.895557,
12.693030,1.212546,3.900715,
12.777550,1.204198,3.905859,
12.862331,1.196109,3.910989,
12.947375,1.188278,3.916104,
13.032683,1.180708,3.921205,
13.118257,1.173396,3.926290,
13.204100,1.166344,3.931360,
13.290214,1.159552,3.936414,
13.376600,1.153019,3.941451,
13.463260,1.146746,3.946471,
13.550197,1.140732,3.951474,
13.637413,1.134979,3.956459,
13.724909,1.129485,3.961427,
13.812687,1.124252,3.966375,
13.900750,1.119279,3.971305,
13.989099,1.114566,3.976216,
14.077737,1.110114,3.981107,
14.166666,1.105922,3.985977,
14.255887,1.101992,3.990828,
14.345404,1.098322,3.995657,
14.435217,1.094914,4.000465,
14.525329,1.091767,4.005251,
14.615742,1.088881,4.010015,
14.706459,1.086258,4.014757,
14.797481,1.083896,4.019476,
14.888810,1.081796,4.024171,
14.980449,1.079959,4.028842,
15.072401,1.078385,4.033490,
15.164666,1.077073,4.038113,
15.257248,1.076025,4.042710,
15.350148,1.075240,4.047283,
15.443369,1.074542,4.051829,
15.617716,1.073253,4.060222,
15.792713,1.071983,4.068504,
15.968831,1.070726,4.076697,
16.146079,1.069483,4.084801,
16.324467,1.068255,4.092817,
16.504009,1.067040,4.100745,
