Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.004324,2.498921,2.500794,
0.007013,2.498252,2.501287,
0.010109,2.497484,2.501855,
0.013661,2.496606,2.502506,
0.017718,2.495606,2.503250,
0.022333,2.494473,2.504096,
0.027564,2.493194,2.505054,
0.033470,2.491758,2.506135,
0.040113,2.490152,2.507351,
0.047560,2.488364,2.508713,
0.055880,2.486381,2.510233,
0.065144,2.484190,2.511924,
0.075426,2.481782,2.513800,
0.086802,2.479145,2.515873,
0.099351,2.476269,2.518157,
0.113153,2.473147,2.520667,
0.128290,2.469771,2.523416,
0.144846,2.466137,2.526418,
0.162905,2.462243,2.529687,
0.182554,2.458088,2.533238,
0.203877,2.453675,2.537084,
0.226961,2.449011,2.541239,
0.251894,2.444105,2.545717,
0.278761,2.438971,2.550531,
0.307649,2.433627,2.555693,
0.338643,2.428096,2.561216,
0.371827,2.422406,2.567112,
0.407284,2.416590,2.573390,
0.445097,2.410686,2.580062,
0.485344,2.404741,2.587137,
0.528106,2.398719,2.594623,
0.571416,2.392674,2.602174,
0.618373,2.386150,2.610324,
0.669166,2.379127,2.619098,
0.723982,2.371588,2.628519,
0.783009,2.363516,2.638608,
0.846434,2.354895,2.649384,
0.914445,2.345711,2.660866,
0.987227,2.335953,2.673070,
1.064964,2.325608,2.686011,
1.147838,2.314667,2.699701,
1.236030,2.303124,2.714151,
1.329717,2.290972,2.729368,
1.429073,2.278209,2.745358,
1.534269,2.264833,2.762124,
1.645475,2.250846,2.779667,
1.762853,2.236249,2.797984,
1.886566,2.221049,2.817072,
2.016771,2.205254,2.836924,
2.153620,2.188872,2.857529,
2.297265,2.171917,2.878875,
2.447850,2.154402,2.900949,
2.605517,2.136343,2.923734,
2.770405,2.117760,2.947209,
2.942647,2.098673,2.971353,
3.122374,2.079103,2.996143,
3.309712,2.059075,3.021552,
3.504786,2.038616,3.047554,
3.707715,2.017752,3.074118,
3.918614,1.996512,3.101213,
4.137599,1.974927,3.128806,
4.364778,1.953028,3.156864,
4.600260,1.930849,3.185349,
4.844149,1.908421,3.214227,
5.096548,1.885029,3.243459,
5.343913,1.852618,3.271505,
5.593038,1.809242,3.299222,
5.837272,1.765590,3.325928,
6.089193,1.721666,3.353000,
6.348863,1.677535,3.380408,
6.616344,1.633259,3.408123,
6.891696,1.588901,3.436116,
7.174980,1.544521,3.464354,
7.466254,1.500182,3.492806,
7.765576,1.455944,3.521440,
8.073003,1.411865,3.550224,
8.388594,1.368003,3.579124,
8.712406,1.324415,3.608109,
9.044498,1.281155,3.637145,
9.384929,1.238274,3.666198,
9.733758,1.195824,3.695237,
10.091047,1.153853,3.724227,
10.456860,1.112406,3.753137,
10.831259,1.071528,3.781934,
11.214312,1.031259,3.810588,
11.606088,0.991637,3.839066,
12.006658,0.952700,3.867338,
12.416097,0.914481,3.895375,
12.834480,0.877010,3.923147,
13.261890,0.840315,3.950627,
13.698410,0.804423,3.977788,
14.144128,0.769355,4.004604,
14.599137,0.735133,4.031050,
15.063534,0.701774,4.057103,
15.537421,0.669294,4.082739,
16.020903,0.637704,4.107939,
16.514094,0.607016,4.132682,
17.017112,0.577237,4.156950,
17.530080,0.548373,4.180726,
18.053130,0.520427,4.203994,
18.586398,0.493402,4.226740,
19.130028,0.467295,4.248951,
19.684174,0.442104,4.270615,
20.248993,0.417825,4.291723,
20.824655,0.394451,4.312266,
21.411336,0.371975,4.332237,
22.009222,0.350387,4.351629,
22.618509,0.329676,4.370438,
23.239401,0.309829,4.388661,
23.872114,0.290832,4.406295,
24.516876,0.272672,4.423341,
25.173925,0.255332,4.439798,
25.843512,0.238795,4.455668,
26.525899,0.223043,4.470953,
27.221364,0.208058,4.485658,
27.930197,0.193821,4.499786,
28.652704,0.180311,4.513345,
29.389205,0.167508,4.526339,
30.140038,0.155391,4.538778,
30.905557,0.143939,4.550669,
31.686134,0.133131,4.562021,
32.482161,0.122944,4.572844,
33.294048,0.113356,4.583148,
34.122228,0.104347,4.592945,
34.967156,0.095892,4.602246,
35.829309,0.087971,4.611064,
36.709192,0.080561,4.619410,
37.607332,0.073641,4.627298,
38.524288,0.067188,4.634742,
39.460646,0.061182,4.641755,
40.417025,0.070728,4.648350,
41.326635,0.148381,4.653374,
42.203988,0.219916,4.656821,
43.081340,0.285443,4.659061,
43.958693,0.345465,4.660255,
44.836045,0.400445,4.660548,
45.713398,0.397618,4.660311,
46.557261,0.365441,4.660488,
47.408500,0.335619,4.661075,
48.267723,0.307986,4.662010,
49.135545,0.282384,4.663238,
50.012584,0.258672,4.664713,
50.899466,0.236718,4.666391,
51.796826,0.216401,4.668234,
52.705308,0.197607,4.670210,
53.625568,0.180233,4.672289,
54.558279,0.164182,4.674443,
55.504126,0.149364,4.676650,
56.463815,0.135696,4.678890,
57.438071,0.123099,4.681143,
58.427642,0.111500,4.683393,
59.433298,0.100832,4.685628,
60.455837,0.091031,4.687833,
61.496087,0.082037,4.689999,
62.554906,0.073794,4.692115,
63.633186,0.066251,4.694176,
64.731858,0.059357,4.696172,
65.851890,0.053067,4.698099,
66.994297,0.047338,4.699953,
68.160138,0.042128,4.701729,
69.350525,0.037400,4.703425,
70.566623,0.033117,4.705039,
71.809658,0.029246,4.706569,
73.080917,0.025754,4.708015,
74.381760,0.022612,4.709377,
75.713619,0.019792,4.710654,
77.078010,0.017268,4.711849,
78.476533,0.015014,4.712962,
79.910887,0.013007,4.713995,
81.382872,0.118492,4.713852,
82.769335,0.232629,4.711475,
84.136497,0.330696,4.707267,
