Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.004393,2.498902,2.500806,
0.007242,2.498190,2.501329,
0.010615,2.497348,2.501948,
0.014588,2.496357,2.502676,
0.019246,2.495195,2.503530,
0.024680,2.493841,2.504526,
0.030991,2.492269,2.505681,
0.038287,2.490454,2.507017,
0.046686,2.488366,2.508553,
0.056314,2.485977,2.510312,
0.067305,2.483253,2.512319,
0.079804,2.480160,2.514598,
0.093961,2.476664,2.517177,
0.109938,2.472726,2.520083,
0.127904,2.468309,2.523347,
0.148035,2.463373,2.526997,
0.170517,2.457877,2.531066,
0.195542,2.451779,2.535586,
0.223308,2.445039,2.540589,
0.254021,2.437614,2.546108,
0.287892,2.429464,2.552178,
0.325138,2.420545,2.558831,
0.365982,2.410820,2.566102,
0.410647,2.400249,2.574023,
0.459364,2.388796,2.582628,
0.512366,2.376425,2.591947,
0.569887,2.363105,2.602012,
0.632163,2.348808,2.612851,
0.699432,2.333507,2.624494,
0.771932,2.317181,2.636965,
0.849902,2.299814,2.650289,
0.933578,2.281394,2.664489,
1.023197,2.261912,2.679582,
1.118994,2.241368,2.695587,
1.221200,2.219767,2.712518,
1.330047,2.197117,2.730385,
1.445760,2.173437,2.749196,
1.568565,2.148748,2.768957,
1.698680,2.123083,2.789669,
1.836321,2.096476,2.811330,
1.981702,2.068973,2.833935,
2.135031,2.038469,2.857477,
2.287200,2.008003,2.880549,
2.447435,1.976668,2.904533,
2.615932,1.944529,2.929416,
2.792881,1.911658,2.955180,
2.978468,1.878136,2.981804,
3.172875,1.844047,3.009263,
3.376278,1.809483,3.037529,
3.588850,1.774542,3.066571,
3.810760,1.739327,3.096356,
4.042170,1.703367,3.126845,
4.269556,1.665421,3.156258,
4.506461,1.627338,3.186346,
4.753040,1.589235,3.217068,
5.009442,1.551235,3.248382,
5.275815,1.513462,3.280243,
5.552303,1.476045,3.312603,
5.839047,1.439114,3.345411,
6.136187,1.400098,3.378620,
6.433327,1.359940,3.411065,
6.740858,1.320531,3.443858,
7.058910,1.282008,3.476947,
7.387614,1.244507,3.510275,
7.727099,1.208164,3.543785,
8.077495,1.172237,3.577421,
8.420364,1.133564,3.609442,
8.774080,1.096243,3.641585,
9.138768,1.060408,3.673793,
9.514558,1.026191,3.706009,
9.901580,0.993717,3.738175,
10.299966,0.957585,3.770254,
10.691565,0.922714,3.800810,
11.094439,0.889804,3.831263,
11.508719,0.858975,3.861557,
11.934544,0.830343,3.891635,
12.372053,0.797959,3.921469,
12.801702,0.766868,3.949759,
13.242918,0.738180,3.977801,
13.695845,0.711999,4.005544,
14.160633,0.684214,4.032945,
14.625420,0.654925,4.059336,
15.101881,0.628470,4.085372,
15.590173,0.604935,4.111006,
16.090460,0.583145,4.136187,
16.578251,0.556975,4.159758,
17.077881,0.533866,4.182944,
17.589520,0.513892,4.205700,
18.113346,0.495806,4.227980,
18.623853,0.472965,4.248778,
19.146362,0.453394,4.269175,
19.681059,0.437150,4.289129,
20.228136,0.419346,4.308612,
20.775213,0.399693,4.327233,
21.334357,0.383696,4.345402,
21.905777,0.371386,4.363078,
22.489692,0.354770,4.380265,
23.061446,0.339368,4.396292,
23.645448,0.327797,4.411867,
24.241927,0.314697,4.426968,
24.838406,0.299606,4.441339,
25.446978,0.288667,4.455267,
26.067890,0.280322,4.468717,
26.671982,0.266061,4.481138,
27.288171,0.256023,4.493174,
27.916713,0.250193,4.504788,
28.557879,0.239777,4.515991,
29.185096,0.230503,4.526367,
29.824631,0.225552,4.536368,
30.476765,0.215972,4.546004,
31.114602,0.207549,4.554924,
31.764728,0.203553,4.563511,
32.427434,0.194885,4.571776,
33.075506,0.187377,4.579421,
33.735841,0.184393,4.586769,
34.408741,0.176689,4.593834,
35.066682,0.170142,4.600363,
35.736865,0.168207,4.606629,
36.419603,0.161502,4.612644,
37.087064,0.155946,4.618197,
37.766750,0.155083,4.623517,
38.458985,0.149398,4.628614,
39.135635,0.144847,4.633314,
39.824497,0.145067,4.637805,
40.525903,0.140411,4.642099,
41.211427,0.136871,4.646052,
41.909149,0.138172,4.649818,
42.619415,0.134544,4.653408,
43.313510,0.132011,4.656705,
44.019792,0.132618,4.659834,
44.706051,0.126237,4.662708,
45.404213,0.124848,4.665477,
46.114623,0.126587,4.668092,
46.804853,0.121218,4.670488,
47.507029,0.120846,4.672792,
48.221503,0.118957,4.674973,
48.935977,0.114754,4.677051,
49.662201,0.115826,4.679033,
50.400554,0.111994,4.680926,
51.121818,0.109507,4.682674,
51.854908,0.112299,4.684323,
52.600212,0.110095,4.685883,
53.328195,0.109145,4.687311,
54.068065,0.111634,4.688640,
54.786620,0.106866,4.689862,
55.516806,0.107461,4.691039,
56.259006,0.106626,4.692137,
57.001206,0.103516,4.693194,
57.754872,0.106017,4.694192,
58.520418,0.103558,4.695138,
59.267974,0.102551,4.696008,
60.027129,0.105213,4.696807,
60.764219,0.100558,4.697548,
61.512692,0.101528,4.698268,
62.272953,0.101141,4.698925,
63.033215,0.098529,4.699568,
63.804723,0.101762,4.700169,
64.587917,0.100013,4.700730,
65.352531,0.099805,4.701243,
66.128569,0.103423,4.701694,
66.881885,0.099595,4.702111,
67.646426,0.101581,4.702514,
68.422621,0.098651,4.702904,
69.180473,0.097312,4.703275,
69.949733,0.101709,4.703607,
70.730835,0.101050,4.703902,
71.493426,0.101808,4.704163,
72.267569,0.101301,4.704390,
73.041711,0.098642,4.704635,
73.826880,0.102038,4.704861,
74.623532,0.100461,4.705068,
75.401153,0.100532,4.705257,
