Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.108392,2.473224,2.519802,
0.215093,2.447489,2.539109,
0.322162,2.422282,2.558299,
0.429608,2.397600,2.577372,
0.537436,2.373442,2.596331,
0.645653,2.349806,2.615176,
0.754267,2.326690,2.633908,
0.863283,2.304094,2.652529,
0.972709,2.282016,2.671040,
1.082552,2.260454,2.689440,
1.192818,2.239409,2.707732,
1.303515,2.218878,2.725916,
1.414649,2.198862,2.743992,
1.526228,2.179358,2.761961,
1.638258,2.160367,2.779825,
1.750747,2.141888,2.797582,
1.863702,2.123920,2.815235,
1.977128,2.106463,2.832782,
2.091035,2.089517,2.850226,
2.205428,2.073080,2.867565,
2.320315,2.057154,2.884800,
2.435703,2.041738,2.901931,
2.551598,2.026832,2.918959,
2.668009,2.012436,2.935883,
2.784942,1.998550,2.952704,
2.902404,1.985174,2.969422,
3.020402,1.972308,2.986036,
3.138945,1.959954,3.002546,
3.258038,1.948110,3.018952,
3.377689,1.936741,3.035255,
3.412665,1.933471,3.039987,
3.577541,1.918206,3.062086,
3.743555,1.903088,3.084001,
3.910884,1.888102,3.105753,
4.079535,1.873250,3.127342,
4.249517,1.858531,3.148765,
4.420838,1.843948,3.170024,
4.593509,1.829500,3.191116,
4.767536,1.815189,3.212041,
4.942931,1.801016,3.232799,
5.119701,1.786981,3.253388,
5.297856,1.773084,3.273807,
5.477405,1.759327,3.294057,
5.658358,1.745710,3.314135,
5.840726,1.732234,3.334043,
6.024517,1.716618,3.353778,
6.034601,1.714897,3.354852,
6.149995,1.695539,3.367087,
6.265820,1.676732,3.379267,
6.382121,1.658469,3.391396,
6.498904,1.640747,3.403473,
6.616178,1.623568,3.415497,
6.733948,1.606931,3.427467,
6.852223,1.590834,3.439383,
6.971008,1.575279,3.451244,
7.090311,1.560264,3.463049,
7.210138,1.545789,3.474797,
7.330498,1.531855,3.486488,
7.451396,1.518462,3.498120,
7.572839,1.505608,3.509693,
7.694834,1.493295,3.521206,
7.817389,1.481523,3.532657,
7.940510,1.470292,3.544047,
8.064204,1.459602,3.555373,
8.188478,1.449454,3.566636,
8.313339,1.439848,3.577834,
8.438793,1.430784,3.588966,
8.564848,1.422263,3.600031,
8.691511,1.414286,3.611028,
8.818789,1.406853,3.621956,
8.946688,1.399964,3.632814,
9.075216,1.393622,3.643601,
9.204380,1.387825,3.654316,
9.334188,1.382575,3.664958,
9.436427,1.378684,3.673251,
9.648629,1.370733,3.690215,
9.862487,1.362888,3.706979,
10.078110,1.355147,3.723550,
10.295516,1.347509,3.739928,
10.514723,1.339974,3.756114,
10.735751,1.332542,3.772106,
10.958619,1.325213,3.787906,
11.183347,1.317985,3.803512,
11.409958,1.310860,3.818927,
11.638472,1.303837,3.834148,
11.868911,1.296915,3.849178,
12.101298,1.279699,3.864030,
12.130651,1.276050,3.865888,
12.253014,1.261231,3.873601,
12.375883,1.246981,3.881286,
12.499300,1.233296,3.888944,
12.623272,1.220176,3.896575,
12.747805,1.207620,3.904177,
12.872906,1.195630,3.911749,
12.998581,1.184204,3.919289,
13.124835,1.173343,3.926797,
13.251677,1.163047,3.934270,
13.379111,1.153317,3.941708,
13.507144,1.144152,3.949109,
13.635782,1.135554,3.956473,
13.765033,1.127523,3.963797,
13.894903,1.120058,3.971080,
14.025397,1.113161,3.978321,
14.156523,1.106831,3.985520,
14.288288,1.101071,3.992673,
14.420698,1.095879,3.999781,
14.553760,1.091256,4.006842,
14.687480,1.087204,4.013855,
14.821866,1.083723,4.020817,
14.956924,1.080813,4.027729,
15.092663,1.078476,4.034588,
15.229088,1.076712,4.041394,
15.366206,1.075505,4.048144,
15.405863,1.075206,4.050080,
15.663137,1.073296,4.062457,
15.922674,1.071418,4.074631,
16.184687,1.069571,4.086613,
16.449214,1.067755,4.098402,
16.716294,1.065969,4.110000,
16.985969,1.064214,4.121408,
17.258281,1.062489,4.132626,
17.533272,1.060793,4.143657,
17.810989,1.059128,4.154500,
18.091476,1.044891,4.165176,
18.126714,1.041331,4.166504,
18.253421,1.028937,4.171261,
18.380665,1.017130,4.176008,
18.508490,1.005906,4.180745,
18.636901,0.995264,4.185469,
18.765905,0.985204,4.190180,
18.895507,0.975727,4.194877,
19.025714,0.966833,4.199557,
19.156532,0.958522,4.204220,
19.287967,0.950794,4.208864,
19.420025,0.943649,4.213487,
19.552713,0.937089,4.218089,
19.686037,0.931112,4.222667,
19.820003,0.925720,4.227221,
19.954618,0.920913,4.231748,
20.089889,0.916691,4.236248,
20.225822,0.913055,4.240718,
20.362423,0.910005,4.245159,
20.499700,0.907542,4.249568,
20.637660,0.905666,4.253943,
20.776309,0.904378,4.258284,
20.915655,0.903678,4.262589,
21.055705,0.903567,4.266856,
21.196465,0.904046,4.271084,
21.337944,0.905114,4.275272,
21.413448,0.905827,4.277482,
21.703583,0.908520,4.285809,
21.996701,0.911163,4.293964,
22.293046,0.913757,4.301954,
22.592681,0.916303,4.309779,
22.895675,0.918801,4.317442,
23.202098,0.921252,4.324944,
23.512021,0.923655,4.332286,
23.825518,0.926011,4.339469,
24.142668,0.914279,4.346520,
24.183016,0.910794,4.347409,
24.312586,0.900026,4.350258,
24.442710,0.889856,4.353108,
24.573433,0.880278,4.355959,
24.704760,0.871295,4.358809,
24.836697,0.862906,4.361656,
24.969251,0.855110,4.364499,
25.102427,0.847909,4.367336,
25.236231,0.841302,4.370166,
25.370670,0.835289,4.372988,
25.505751,0.829871,4.375799,
25.641479,0.825048,4.378599,
25.777860,0.820820,4.381386,
