Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.122847,2.469551,2.522429,
0.244130,2.440001,2.544333,
0.365961,2.410824,2.566099,
0.488344,2.382019,2.587729,
0.611288,2.353584,2.609225,
0.734798,2.325520,2.630588,
0.858881,2.297825,2.651819,
0.983543,2.270499,2.672919,
1.108792,2.243540,2.693890,
1.234634,2.216949,2.714733,
1.361075,2.190725,2.735448,
1.488123,2.164867,2.756037,
1.615785,2.139374,2.776501,
1.744067,2.114246,2.796841,
1.872977,2.089482,2.817057,
2.002523,2.064758,2.837150,
2.015824,2.062015,2.839201,
2.143872,2.035881,2.858828,
2.272448,2.010138,2.878328,
2.401634,1.984769,2.897715,
2.531438,1.959774,2.916989,
2.661868,1.935152,2.936149,
2.792931,1.910902,2.955198,
2.924636,1.887023,2.974135,
3.056989,1.863514,2.992961,
3.190000,1.840376,3.011676,
3.323676,1.817607,3.030281,
3.458026,1.795207,3.048776,
3.593057,1.773175,3.067161,
3.728778,1.751511,3.085437,
3.865196,1.730214,3.103603,
4.002322,1.708941,3.121660,
4.016202,1.706572,3.123476,
4.151240,1.683793,3.141047,
4.286890,1.661402,3.158509,
4.423223,1.639386,3.175871,
4.560247,1.617745,3.193134,
4.697972,1.596477,3.210297,
4.836406,1.575584,3.227360,
4.975559,1.555063,3.244323,
5.115438,1.534914,3.261186,
5.256053,1.515137,3.277949,
5.397412,1.495732,3.294612,
5.539525,1.476698,3.311174,
5.682401,1.458035,3.327635,
5.826048,1.439742,3.343995,
5.970476,1.421820,3.360253,
6.115693,1.402226,3.376413,
6.133360,1.399772,3.378366,
6.275880,1.380254,3.394026,
6.419100,1.361121,3.409588,
6.563086,1.342365,3.425059,
6.707847,1.323986,3.440438,
6.853394,1.305983,3.455724,
6.999736,1.288356,3.470917,
7.146881,1.271105,3.486016,
7.294839,1.254229,3.501021,
7.443621,1.237729,3.515931,
7.593234,1.221603,3.530747,
7.743690,1.205853,3.545466,
7.894997,1.190477,3.560088,
8.047165,1.174086,3.574615,
8.080173,1.170238,3.577743,
8.229113,1.153166,3.591759,
8.378827,1.136482,3.605684,
8.529377,1.120179,3.619523,
8.680773,1.104256,3.633275,
8.833026,1.088715,3.646940,
8.986143,1.073554,3.660516,
9.140137,1.058773,3.674004,
9.295016,1.044372,3.687401,
9.450790,1.030352,3.700708,
9.607470,1.016711,3.713924,
9.765066,1.003450,3.727047,
9.923588,0.990569,3.740078,
10.083046,0.975828,3.753018,
10.102217,0.973977,3.754563,
10.257709,0.959227,3.767006,
10.414034,0.944869,3.779364,
10.571265,0.930898,3.791640,
10.729413,0.917312,3.803833,
10.888488,0.904112,3.815943,
11.048500,0.891298,3.827969,
11.209460,0.878869,3.839909,
11.371379,0.866825,3.851764,
11.534266,0.855167,3.863531,
11.698134,0.843895,3.875211,
11.862993,0.833008,3.886802,
12.028853,0.822092,3.898303,
12.045215,0.820754,3.899429,
12.206379,0.807833,3.910444,
12.368429,0.795310,3.921379,
12.531446,0.783178,3.932237,
12.695438,0.771437,3.943017,
12.860418,0.760087,3.953719,
13.026397,0.749128,3.964341,
13.193386,0.738560,3.974884,
13.361396,0.728384,3.985345,
13.530438,0.718598,3.995723,
13.700524,0.709203,4.006019,
13.871667,0.700200,4.016231,
14.043878,0.690016,4.026359,
14.080982,0.687484,4.028523,
14.247900,0.676376,4.038178,
14.415769,0.665669,4.047759,
14.584665,0.655358,4.057269,
14.754600,0.645444,4.066705,
14.925584,0.635926,4.076069,
15.097630,0.626804,4.085358,
15.270749,0.618079,4.094572,
15.444955,0.609750,4.103709,
15.620260,0.601817,4.112769,
15.796675,0.594281,4.121751,
15.974214,0.587141,4.130653,
16.152890,0.577890,4.139480,
16.174088,0.576701,4.140518,
16.346581,0.567284,4.148904,
16.520072,0.558272,4.157221,
16.694649,0.549662,4.165472,
16.870324,0.541453,4.173656,
17.047110,0.533645,4.181771,
17.225021,0.526238,4.189818,
17.404068,0.519232,4.197794,
17.584265,0.512628,4.205699,
17.765626,0.506425,4.213532,
17.948164,0.500624,4.221293,
18.131893,0.492646,4.228983,
18.153619,0.491608,4.229885,
18.330455,0.483415,4.237166,
18.508328,0.475632,4.244384,
18.687334,0.468255,4.251543,
18.867485,0.461282,4.258641,
19.048796,0.454716,4.265677,
19.231280,0.448555,4.272650,
19.414950,0.442800,4.279560,
19.599820,0.437450,4.286404,
19.785906,0.432506,4.293183,
19.973221,0.427968,4.299895,
20.161780,0.421191,4.306543,
20.184003,0.420295,4.307320,
20.364937,0.413251,4.313592,
20.546948,0.406619,4.319808,
20.730137,0.400398,4.325971,
20.914517,0.394585,4.332079,
21.100103,0.389182,4.338132,
21.286908,0.384188,4.344127,
21.474948,0.379604,4.350065,
21.664237,0.375429,4.355944,
21.854791,0.371664,4.361764,
22.046625,0.367830,4.367522,
22.065236,0.367156,4.368076,
22.248791,0.360764,4.373491,
22.433446,0.354788,4.378858,
22.619306,0.349224,4.384179,
22.806386,0.344072,4.389452,
22.994701,0.339334,4.394676,
23.184266,0.335008,4.399850,
23.375095,0.331094,4.404973,
23.567204,0.327594,4.410044,
23.760609,0.324506,4.415062,
23.955327,0.321832,4.420026,
24.151373,0.316822,4.424939,
24.174368,0.316131,4.425510,
24.361543,0.310766,4.430119,
24.549857,0.305819,4.434686,
24.739418,0.301287,4.439211,
24.930240,0.297170,4.443694,
25.122340,0.293469,4.448132,
25.315732,0.290183,4.452527,
25.510434,0.287313,4.456875,
25.706461,0.284858,4.461177,
25.903830,0.282819,4.465431,
