Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.004377,2.498906,2.500803,
0.007188,2.498205,2.501319,
0.010495,2.497380,2.501926,
0.014368,2.496416,2.502636,
0.018880,2.495293,2.503463,
0.024114,2.493993,2.504422,
0.030158,2.492495,2.505529,
0.037108,2.490775,2.506801,
0.045066,2.488810,2.508257,
0.054142,2.486574,2.509915,
0.064451,2.484043,2.511798,
0.076117,2.481187,2.513926,
0.089270,2.477980,2.516323,
0.104046,2.474393,2.519012,
0.120588,2.470396,2.522018,
0.139044,2.465961,2.525367,
0.159570,2.461057,2.529085,
0.182324,2.455658,2.533199,
0.207472,2.449735,2.537736,
0.235182,2.443262,2.542723,
0.265629,2.436215,2.548188,
0.298988,2.428572,2.554159,
0.335440,2.420313,2.560663,
0.375166,2.411421,2.567727,
0.418353,2.401884,2.575378,
0.465184,2.391694,2.583641,
0.515847,2.380847,2.592541,
0.570530,2.369345,2.602102,
0.629419,2.357194,2.612345,
0.692700,2.344410,2.623292,
0.760560,2.331012,2.634962,
0.833182,2.317028,2.647371,
0.910748,2.302494,2.660536,
0.993438,2.287453,2.674468,
1.081428,2.271958,2.689178,
1.174891,2.256070,2.704675,
1.274000,2.239859,2.720963,
1.378919,2.223404,2.738046,
1.489812,2.206793,2.755923,
1.606837,2.190126,2.774591,
1.730149,2.173509,2.794043,
1.859898,2.157060,2.814270,
1.996228,2.140906,2.835260,
2.139282,2.124693,2.856997,
2.287996,2.108091,2.879287,
2.445557,2.090768,2.902565,
2.612238,2.072738,2.926821,
2.788310,2.054015,2.952038,
2.974037,2.034619,2.978195,
3.169684,2.014574,3.005268,
3.375509,1.993904,3.033227,
3.591770,1.972640,3.062040,
3.818721,1.950814,3.091670,
4.056611,1.928461,3.122078,
4.305688,1.905620,3.153219,
4.566198,1.882332,3.185047,
4.838381,1.858639,3.217511,
5.122477,1.834588,3.250559,
5.418725,1.810225,3.284136,
5.727358,1.785599,3.318183,
6.048611,1.760761,3.352641,
6.382716,1.735762,3.387449,
6.729905,1.710654,3.422543,
7.090408,1.685490,3.457860,
7.464455,1.660321,3.493333,
7.852278,1.635200,3.528899,
8.254109,1.610180,3.564491,
8.670179,1.585311,3.600043,
9.100724,1.560643,3.635490,
9.545981,1.536225,3.670768,
10.006190,1.506369,3.705813,
10.448152,1.446160,3.738393,
10.895743,1.397572,3.770426,
11.349072,1.360513,3.801813,
11.808249,1.334889,3.832457,
12.273391,1.318391,3.862272,
12.733179,1.304082,3.890537,
13.209473,1.289937,3.918598,
13.702568,1.275985,3.946398,
14.212761,1.262256,3.973880,
14.740362,1.248776,4.000992,
15.285684,1.235570,4.027683,
15.849052,1.222664,4.053902,
16.430801,1.210078,4.079605,
17.031276,1.197832,4.104748,
17.650838,1.185945,4.129291,
18.289861,1.174432,4.153197,
18.948733,1.163307,4.176433,
19.627862,1.152582,4.198969,
20.327674,1.113971,4.220893,
21.017126,1.062186,4.241728,
21.706577,1.036823,4.261679,
22.396029,1.031500,4.280483,
23.071941,1.029441,4.297747,
23.770215,1.027455,4.314419,
24.491383,1.025544,4.330480,
25.236003,1.023711,4.345913,
26.004664,1.021956,4.360704,
26.797985,1.020281,4.374844,
27.616622,1.018686,4.388327,
28.461265,1.017172,4.401148,
29.332647,1.015738,4.413307,
30.231543,0.975595,4.425005,
31.109640,0.921834,4.436378,
31.987736,0.909518,4.447328,
32.865832,0.916976,4.457377,
33.752854,0.924026,4.466550,
34.666110,0.930660,4.475062,
35.606485,0.936886,4.482937,
36.574923,0.942715,4.490198,
37.572429,0.948156,4.496870,
38.600079,0.953222,4.502980,
39.659022,0.957925,4.508554,
40.750488,0.905265,4.514317,
41.793967,0.878722,4.519935,
42.826047,0.887644,4.525076,
43.837287,0.898456,4.529446,
44.875863,0.908479,4.533297,
45.942865,0.917747,4.536669,
47.039459,0.926295,4.539599,
48.166887,0.934159,4.542123,
49.326477,0.941373,4.544277,
50.519646,0.903145,4.546400,
51.675749,0.864624,4.549252,
52.815594,0.874063,4.552011,
53.926204,0.887309,4.554197,
55.063708,0.899434,4.555935,
56.229348,0.910507,4.557275,
57.424441,0.920596,4.558264,
58.650385,0.929765,4.558948,
59.908670,0.938076,4.559366,
61.200880,0.895665,4.560311,
62.435739,0.891602,4.561462,
63.630046,0.903814,4.562367,
64.852983,0.914895,4.562928,
66.105984,0.924927,4.563195,
67.390569,0.933985,4.563213,
68.708351,0.942143,4.563022,
70.061048,0.933078,4.562659,
71.346559,0.863157,4.563519,
72.609542,0.867640,4.564934,
73.830593,0.882867,4.565954,
75.077673,0.896612,4.566547,
76.352224,0.908995,4.566781,
77.655768,0.920127,4.566712,
78.989913,0.930113,4.566395,
80.356357,0.882115,4.566320,
81.675563,0.836101,4.567673,
82.971155,0.850204,4.569144,
84.231861,0.867963,4.570061,
85.516750,0.883898,4.570495,
86.827329,0.898172,4.570527,
88.165180,0.910936,4.570228,
89.531963,0.922325,4.569663,
90.929426,0.864963,4.569965,
92.261565,0.854670,4.570827,
93.550269,0.872258,4.571458,
94.863334,0.887992,4.571629,
96.202338,0.902043,4.571422,
97.568928,0.914568,4.570910,
98.964839,0.925710,4.570156,
100.391891,0.877026,4.569694,
