Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.006000,2.498504,2.501101,
0.014000,2.496522,2.502569,
0.030000,2.492601,2.505500,
0.062000,2.484932,2.511350,
0.126000,2.470279,2.523000,
0.254000,2.443697,2.546095,
0.510000,2.401270,2.591457,
1.022000,2.331330,2.678871,
2.046000,2.201744,2.841353,
4.094000,1.979108,3.123441,
8.190000,1.386331,3.566110,
12.286000,0.918906,3.890576,
16.382000,0.609081,4.129398,
20.478000,0.403719,4.302654,
24.574000,0.267598,4.426946,
28.670000,0.177373,4.515372,
36.862000,0.075334,4.623343,
45.054000,0.445455,4.638561,
53.246000,0.333538,4.667178,
61.438000,0.141660,4.677283,
69.630000,0.060166,4.694386,
77.822000,0.025553,4.706907,
86.014000,0.424312,4.677536,
94.206000,0.180213,4.675408,
102.398000,0.076540,4.691063,
