Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.006000,2.498502,2.501101,
0.014000,2.496512,2.502569,
0.030000,2.492556,2.505500,
0.062000,2.484740,2.511350,
0.126000,2.469488,2.523001,
0.254000,2.440498,2.546100,
0.510000,2.388483,2.591496,
1.022000,2.307608,2.679098,
2.046000,2.180331,2.841976,
4.094000,1.961663,3.124659,
8.190000,1.637422,3.556288,
12.286000,1.221275,3.860346,
16.382000,0.809501,4.093624,
20.478000,0.536564,4.269206,
24.574000,0.653923,4.388467,
28.670000,0.770609,4.461126,
32.766000,0.608030,4.510626,
36.862000,0.403022,4.555145,
40.958000,0.267136,4.594227,
45.054000,0.511104,4.616212,
53.246000,0.428268,4.616817,
61.438000,0.181893,4.649371,
69.630000,0.652535,4.655002,
77.822000,0.438966,4.660860,
86.014000,0.599896,4.627505,
94.206000,0.460549,4.619325,
102.398000,0.323035,4.648172,
