Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.006000,2.498504,2.501101,
0.014000,2.496522,2.502569,
0.030000,2.492601,2.505500,
0.062000,2.484932,2.511350,
0.126000,2.470278,2.523000,
0.254000,2.443694,2.546095,
0.510000,2.401184,2.591455,
1.022000,2.331240,2.678883,
2.046000,2.201594,2.841450,
4.094000,1.978548,3.124030,
8.190000,1.412741,3.567723,
12.286000,0.933219,3.891379,
20.478000,0.389335,4.310971,
28.670000,0.162429,4.525358,
45.054000,0.406180,4.632216,
61.438000,0.348324,4.637769,
77.822000,0.027683,4.689202,
94.206000,0.002200,4.718091,
126.974000,0.001759,4.720973,
