Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.006000,2.498502,2.501101,
0.014000,2.496509,2.502569,
0.030000,2.492543,2.505500,
0.062000,2.484682,2.511350,
0.126000,2.469251,2.523001,
0.254000,2.439538,2.546101,
0.510000,2.384638,2.591509,
1.022000,2.292394,2.679196,
2.046000,2.158368,2.842476,
4.094000,1.943346,3.126310,
8.190000,1.623149,3.560896,
16.382000,1.115025,4.099082,
24.574000,1.047988,4.352779,
40.958000,1.003814,4.529628,
57.342000,0.987892,4.547628,
73.726000,0.977567,4.553502,
90.110000,0.998217,4.552016,
122.878000,0.998574,4.549438,
