Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.006000,2.498501,2.501101,
0.014000,2.496503,2.502569,
0.030000,2.492516,2.505500,
0.062000,2.484567,2.511350,
0.126000,2.468777,2.523001,
0.254000,2.437620,2.546104,
0.510000,2.376975,2.591532,
1.022000,2.262170,2.679381,
2.046000,2.056991,2.843845,
4.094000,1.696305,3.133596,
6.142000,1.403328,3.379200,
8.190000,1.165518,3.587827,
12.286000,0.798852,3.916436,
16.382000,0.559050,4.152156,
20.478000,0.403339,4.319652,
24.574000,0.303365,4.437700,
28.670000,0.240336,4.520309,
32.766000,0.201795,4.577732,
36.862000,0.179485,4.617370,
40.958000,0.167935,4.644510,
45.054000,0.127106,4.662900,
49.150000,0.103281,4.676751,
53.246000,0.090725,4.686854,
57.342000,0.085640,4.693992,
61.438000,0.085506,4.698848,
65.534000,0.088654,4.701981,
69.630000,0.093977,4.703833,
73.726000,0.100743,4.704744,
77.822000,0.108464,4.704969,
81.918000,0.116818,4.704697,
86.014000,0.125593,4.704069,
90.110000,0.103621,4.705072,
94.206000,0.092295,4.706580,
98.302000,0.088024,4.707968,
102.398000,0.088429,4.708979,
