Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.004350,2.498913,2.500798,
0.007097,2.498228,2.501302,
0.010294,2.497430,2.501889,
0.013998,2.496508,2.502568,
0.018270,2.495445,2.503351,
0.023176,2.494226,2.504250,
0.028788,2.492834,2.505278,
0.035179,2.491252,2.506448,
0.042432,2.489459,2.507775,
0.050630,2.487438,2.509274,
0.059863,2.485168,2.510960,
0.070225,2.482628,2.512851,
0.081813,2.479797,2.514964,
0.094730,2.476653,2.517317,
0.109081,2.473174,2.519927,
0.124975,2.469340,2.522815,
0.142525,2.465127,2.525998,
0.161846,2.460516,2.529497,
0.183056,2.455485,2.533331,
0.206274,2.450016,2.537520,
0.231623,2.444091,2.542083,
0.259227,2.437692,2.547040,
0.289209,2.430804,2.552411,
0.321695,2.423416,2.558213,
0.356810,2.415515,2.564466,
0.394681,2.407095,2.571188,
0.435432,2.398150,2.578396,
0.479187,2.388678,2.586105,
0.526070,2.378681,2.594332,
0.576203,2.368164,2.603091,
0.629706,2.357136,2.612395,
0.686697,2.345611,2.622256,
0.747291,2.333607,2.632686,
0.811603,2.321146,2.643692,
0.879742,2.308255,2.655284,
0.951816,2.294967,2.667468,
1.027929,2.281318,2.680248,
1.108181,2.267352,2.693627,
1.192671,2.253116,2.707608,
1.281491,2.238662,2.722188,
1.374733,2.224049,2.737367,
1.472481,2.209339,2.753141,
1.574819,2.194602,2.769503,
1.681825,2.179909,2.786446,
1.793574,2.165340,2.803961,
1.910137,2.150978,2.822036,
2.031581,2.136906,2.840659,
2.156688,2.122771,2.859621,
2.288377,2.108083,2.879342,
2.426805,2.092849,2.899811,
2.572125,2.077083,2.921016,
2.724486,2.060797,2.942943,
2.884031,2.044006,2.965573,
3.050902,2.026730,2.988886,
3.225235,2.008985,3.012862,
3.407164,1.990795,3.037476,
3.596817,1.972181,3.062701,
3.794321,1.953169,3.088508,
3.999798,1.933783,3.114869,
4.213366,1.914052,3.141751,
4.435142,1.894004,3.169121,
4.665237,1.873668,3.196943,
4.903762,1.853075,3.225182,
5.150824,1.832257,3.253800,
5.406528,1.811246,3.282760,
5.670975,1.790074,3.312021,
5.944267,1.768774,3.341544,
6.226502,1.747380,3.371288,
6.517778,1.725925,3.401214,
6.818189,1.704441,3.431279,
7.127830,1.682963,3.461443,
7.446796,1.661523,3.491665,
7.775179,1.640152,3.521904,
8.113074,1.618883,3.552119,
8.460572,1.597746,3.582271,
8.817767,1.576772,3.612320,
9.184754,1.555989,3.642227,
9.561628,1.535425,3.671954,
9.948485,1.515107,3.701465,
10.345422,1.467818,3.730826,
10.724693,1.423169,3.758167,
11.103963,1.387239,3.784786,
11.483234,1.359704,3.810644,
11.862504,1.340252,3.835706,
12.241775,1.327025,3.859944,
12.614227,1.315069,3.882951,
12.997850,1.303211,3.905850,
13.392770,1.291470,3.928607,
13.799112,1.279864,3.951188,
14.217003,1.268409,3.973559,
14.646577,1.257123,3.995691,
15.087965,1.246021,4.017552,
15.541307,1.235117,4.039113,
16.006743,1.224424,4.060347,
16.484422,1.213956,4.081228,
16.974495,1.203723,4.101732,
17.477120,1.193737,4.121836,
17.992461,1.184006,4.141519,
18.520689,1.174538,4.160762,
19.061984,1.165341,4.179547,
19.616532,1.156422,4.197858,
20.184529,1.123077,4.215682,
20.722100,1.076222,4.232207,
21.259671,1.045886,4.248265,
21.797243,1.031206,4.263711,
22.334814,1.028408,4.278425,
22.858746,1.026958,4.292039,
23.397451,1.025544,4.305324,
23.951172,1.024168,4.318265,
24.520161,1.022831,4.330849,
25.104681,1.021535,4.343063,
25.705009,1.020280,4.354897,
26.321435,1.019068,4.366343,
26.954262,1.017898,4.377394,
27.603811,1.016773,4.388044,
28.270419,1.015691,4.398288,
28.954438,1.014654,4.408125,
29.656242,1.013661,4.417554,
30.376224,0.961761,4.426910,
31.058926,0.922093,4.435810,
31.733931,0.907599,4.444369,
32.402027,0.911688,4.452333,
33.049891,0.917228,4.459500,
33.714460,0.922550,4.466316,
34.396123,0.927654,4.472784,
35.095290,0.932539,4.478908,
35.812396,0.937207,4.484695,
36.547900,0.941660,4.490151,
37.302288,0.945899,4.495282,
38.076074,0.949928,4.500096,
38.869805,0.953749,4.504603,
39.684058,0.957366,4.508812,
40.519445,0.905199,4.513160,
41.310411,0.871338,4.517634,
42.089179,0.869913,4.521953,
42.856926,0.879527,4.525800,
43.640832,0.888610,4.529299,
44.441402,0.897180,4.532469,
45.259175,0.905254,4.535328,
46.094713,0.912849,4.537896,
46.948613,0.919982,4.540191,
47.821501,0.926671,4.542230,
48.714042,0.932932,4.544031,
49.626934,0.938784,4.545611,
50.560916,0.882629,4.547523,
51.443954,0.850653,4.549943,
52.310570,0.856396,4.552302,
53.150231,0.867962,4.554236,
54.005344,0.878784,4.555871,
54.876503,0.888897,4.557230,
55.764330,0.898336,4.558339,
56.669476,0.907134,4.559220,
57.592623,0.915323,4.559895,
58.534488,0.922935,4.560385,
59.495822,0.929999,4.560709,
60.477413,0.897979,4.560885,
61.402303,0.860462,4.562024,
62.308631,0.864921,4.563291,
63.187037,0.876280,4.564249,
64.081244,0.886864,4.564961,
64.991904,0.896712,4.565453,
65.919697,0.905864,4.565748,
66.865337,0.914358,4.565867,
67.829567,0.922231,4.565833,
68.813170,0.929516,4.565663,
69.816962,0.936248,4.565376,
70.841803,0.884635,4.565554,
71.810607,0.864521,4.566396,
72.758993,0.874913,4.567166,
73.678248,0.885899,4.567660,
74.613617,0.896088,4.567936,
75.565818,0.905527,4.568020,
