Time(ns),Calculated Values(V1),Calculated Values(V2)
0.396000,2.408351,2.571418,
0.398000,2.407925,2.571772,
0.400000,2.407500,2.572127,
0.402000,2.407074,2.572481,
0.404000,2.406649,2.572835,
0.406000,2.406225,2.573189,
0.408000,2.405801,2.573543,
0.410000,2.405377,2.573897,
0.412000,2.404953,2.574250,
0.414000,2.404530,2.574604,
0.416000,2.404107,2.574958,
0.418000,2.403685,2.575311,
0.420000,2.403263,2.575665,
0.422000,2.402841,2.576018,
0.424000,2.402420,2.576372,
0.426000,2.401999,2.576725,
0.428000,2.401578,2.577079,
0.430000,2.401158,2.577432,
0.432000,2.400738,2.577785,
0.434000,2.400319,2.578138,
0.436000,2.399900,2.578491,
0.438000,2.399481,2.578844,
0.440000,2.399063,2.579197,
0.442000,2.398645,2.579550,
0.444000,2.398227,2.579903,
0.446000,2.397810,2.580255,
0.448000,2.397393,2.580608,
0.450000,2.396976,2.580960,
0.452000,2.396560,2.581313,
0.454000,2.396144,2.581665,
0.456000,2.395729,2.582018,
0.458000,2.395313,2.582370,
0.460000,2.394899,2.582722,
0.462000,2.394484,2.583075,
0.464000,2.394070,2.583427,
0.466000,2.393657,2.583779,
0.468000,2.393243,2.584131,
0.470000,2.392830,2.584483,
0.472000,2.392418,2.584835,
0.474000,2.392005,2.585186,
0.476000,2.391594,2.585538,
0.478000,2.391182,2.585890,
0.480000,2.390771,2.586242,
0.482000,2.390360,2.586593,
0.484000,2.389950,2.586945,
0.486000,2.389540,2.587296,
0.488000,2.389130,2.587647,
0.490000,2.388721,2.587999,
0.492000,2.388312,2.588350,
0.494000,2.387903,2.588701,
0.496000,2.387495,2.589052,
0.498000,2.387087,2.589403,
0.500000,2.386680,2.589754,
0.502000,2.386272,2.590105,
0.504000,2.385866,2.590456,
0.506000,2.385459,2.590807,
0.508000,2.385053,2.591158,
0.510000,2.384647,2.591508,
0.512000,2.384242,2.591859,
0.514000,2.383837,2.592209,
0.516000,2.383432,2.592560,
0.518000,2.383028,2.592910,
0.520000,2.382624,2.593261,
0.522000,2.382221,2.593611,
0.524000,2.381818,2.593961,
0.526000,2.381415,2.594311,
0.528000,2.381012,2.594661,
0.530000,2.380610,2.595011,
0.532000,2.380208,2.595361,
0.534000,2.379807,2.595711,
0.536000,2.379406,2.596061,
0.538000,2.379005,2.596411,
0.540000,2.378605,2.596760,
0.542000,2.378205,2.597110,
0.544000,2.377805,2.597460,
0.546000,2.377406,2.597809,
0.548000,2.377007,2.598159,
0.550000,2.376609,2.598508,
0.552000,2.376211,2.598857,
0.554000,2.375813,2.599207,
0.556000,2.375416,2.599556,
0.558000,2.375018,2.599905,
0.560000,2.374622,2.600254,
