Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.047458,2.488389,2.508694,
0.092910,2.477741,2.516985,
0.138424,2.467540,2.525254,
0.184001,2.457785,2.533499,
0.229643,2.448477,2.541722,
0.275352,2.439614,2.549921,
0.321130,2.431196,2.558098,
0.366978,2.423223,2.566251,
0.412897,2.415694,2.574382,
0.458890,2.408609,2.582490,
0.504958,2.401969,2.590574,
0.551103,2.395515,2.598636,
0.648617,2.381973,2.615554,
0.746419,2.368523,2.632361,
0.844721,2.355136,2.649094,
0.943525,2.341812,2.665752,
1.042833,2.328553,2.682337,
1.142649,2.315358,2.698847,
1.242974,2.302227,2.715283,
1.343811,2.289162,2.731645,
1.445164,2.276162,2.747933,
1.547033,2.263228,2.764147,
1.649423,2.250360,2.780286,
1.752335,2.237558,2.796351,
1.855772,2.224823,2.812342,
1.959736,2.212155,2.828258,
2.064231,2.199555,2.844099,
2.169258,2.187022,2.859866,
2.274820,2.174558,2.875559,
2.380920,2.162162,2.891176,
2.487560,2.149834,2.906719,
2.594742,2.137576,2.922187,
2.702470,2.125387,2.937580,
2.810745,2.113267,2.952897,
2.919570,2.101218,2.968140,
3.028948,2.089238,2.983307,
3.138881,2.077330,2.998399,
3.249372,2.065492,3.013415,
3.360423,2.053725,3.028356,
3.472036,2.042029,3.043220,
3.584216,2.030405,3.058009,
3.696962,2.018853,3.072722,
3.810280,2.007373,3.087359,
3.924170,1.995965,3.101919,
4.038637,1.984629,3.116403,
4.153681,1.973367,3.130811,
4.269307,1.962177,3.145142,
4.385517,1.951060,3.159396,
4.502313,1.940017,3.173573,
4.619698,1.929047,3.187674,
4.737675,1.918151,3.201697,
4.856247,1.907328,3.215643,
4.975417,1.896580,3.229511,
5.095187,1.884932,3.243303,
5.112338,1.883060,3.245266,
5.160962,1.877451,3.250817,
5.209625,1.871392,3.256349,
5.258378,1.864878,3.261870,
5.307221,1.857908,3.267380,
5.356154,1.850482,3.272880,
5.405176,1.842600,3.278368,
5.454287,1.834261,3.283847,
5.503486,1.825466,3.289317,
5.552772,1.816491,3.294777,
5.659010,1.797295,3.306483,
5.765437,1.778268,3.318123,
5.872251,1.759375,3.329718,
5.979456,1.740614,3.341268,
6.087055,1.721986,3.352774,
6.195051,1.703489,3.364235,
6.303448,1.685124,3.375653,
6.412251,1.666888,3.387025,
6.521461,1.648783,3.398354,
6.631084,1.630808,3.409638,
6.741122,1.612961,3.420878,
6.851579,1.595243,3.432074,
6.962459,1.577652,3.443225,
7.073766,1.560189,3.454332,
7.185503,1.542853,3.465394,
7.297674,1.525644,3.476413,
7.410283,1.508560,3.487387,
7.523334,1.491601,3.498316,
7.636830,1.474768,3.509201,
7.750776,1.458059,3.520041,
7.865174,1.441474,3.530837,
7.980030,1.425013,3.541588,
8.095346,1.408674,3.552295,
8.211128,1.392459,3.562956,
8.327378,1.376365,3.573573,
8.444101,1.360393,3.584144,
8.561300,1.344542,3.594671,
8.678981,1.328812,3.605152,
8.797146,1.313203,3.615588,
8.915800,1.297713,3.625978,
9.034946,1.282343,3.636323,
9.154590,1.267092,3.646622,
9.274735,1.251960,3.656876,
9.395386,1.236946,3.667083,
9.516546,1.222049,3.677245,
9.638220,1.207270,3.687360,
9.760412,1.192608,3.697429,
9.883126,1.178062,3.707452,
10.006367,1.163633,3.717428,
10.130140,1.149319,3.727357,
10.254448,1.135121,3.737240,
10.379295,1.121037,3.747076,
10.504688,1.107068,3.756864,
10.630629,1.093213,3.766605,
10.757124,1.079471,3.776299,
10.884177,1.065843,3.785945,
11.011792,1.052328,3.795544,
11.139975,1.038925,3.805094,
11.268731,1.025634,3.814597,
11.398063,1.012454,3.824052,
11.527977,0.999386,3.833458,
11.658477,0.986429,3.842816,
11.789569,0.973582,3.852125,
11.921258,0.960845,3.861385,
12.053548,0.948218,3.870597,
12.186444,0.935700,3.879759,
12.319952,0.923290,3.888872,
12.454077,0.910989,3.897936,
12.588824,0.898796,3.906951,
12.724198,0.886711,3.915915,
12.860205,0.874733,3.924830,
12.996850,0.862861,3.933695,
13.134138,0.851096,3.942511,
13.272075,0.839437,3.951275,
13.410667,0.827883,3.959990,
13.549918,0.816435,3.968654,
13.689836,0.805091,3.977267,
13.830425,0.793852,3.985830,
13.971692,0.782716,3.994342,
14.113642,0.771684,4.002803,
14.256281,0.760755,4.011213,
14.399616,0.749928,4.019571,
14.543652,0.739204,4.027879,
14.688396,0.728581,4.036134,
14.833854,0.718060,4.044338,
14.980032,0.707640,4.052491,
15.126937,0.697321,4.060591,
15.274575,0.687101,4.068640,
15.422953,0.676981,4.076637,
15.572078,0.666961,4.084581,
15.721956,0.657039,4.092474,
15.872595,0.647216,4.100314,
16.024001,0.637490,4.108101,
16.176181,0.627862,4.115837,
16.329142,0.618331,4.123519,
16.482892,0.608897,4.131149,
16.637438,0.599559,4.138726,
16.792788,0.590317,4.146250,
16.948949,0.581170,4.153722,
17.105929,0.572118,4.161140,
17.263735,0.563161,4.168505,
17.422375,0.554297,4.175817,
17.581858,0.545527,4.183076,
17.742192,0.536851,4.190282,
17.903384,0.528266,4.197435,
18.065443,0.519774,4.204534,
18.228378,0.511374,4.211579,
18.392198,0.503065,4.218572,
18.556910,0.494847,4.225511,
18.722524,0.486719,4.232396,
18.889049,0.478681,4.239228,
19.056494,0.470732,4.246006,
19.224868,0.462873,4.252731,
19.394181,0.455102,4.259402,
19.564443,0.447419,4.266019,
19.735662,0.439823,4.272583,
19.907849,0.432315,4.279093,
20.081015,0.424893,4.285549,
