Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.069002,2.483284,2.512628,
0.136122,2.468044,2.524836,
0.203380,2.453776,2.536994,
0.270779,2.440479,2.549102,
0.338326,2.428150,2.561160,
0.406026,2.416789,2.573167,
0.473884,2.406396,2.585125,
0.541906,2.396758,2.597032,
0.558398,2.394457,2.599907,
0.701029,2.374708,2.624581,
0.844556,2.355118,2.649066,
0.989189,2.335660,2.673399,
1.134938,2.316334,2.697579,
1.281811,2.297141,2.721606,
1.429818,2.278084,2.745479,
1.578968,2.259162,2.769200,
1.729269,2.240378,2.792767,
1.880731,2.221733,2.816180,
2.033361,2.203227,2.839439,
2.187169,2.184862,2.862543,
2.342163,2.166638,2.885493,
2.498352,2.148558,2.908288,
2.655744,2.130622,2.930927,
2.814348,2.112831,2.953409,
2.974172,2.095186,2.975736,
3.135224,2.077689,2.997905,
3.297514,2.060340,3.019916,
3.461048,2.043141,3.041770,
3.625837,2.026092,3.063464,
3.791888,2.009194,3.085000,
3.959209,1.992448,3.106376,
4.127810,1.975855,3.127591,
4.297699,1.959417,3.148645,
4.468884,1.943132,3.169538,
4.641375,1.927003,3.190269,
4.815180,1.911030,3.210837,
4.990309,1.895214,3.231242,
5.166770,1.876706,3.251488,
5.214760,1.870682,3.256942,
5.286722,1.860843,3.265080,
5.358874,1.850012,3.273195,
5.431220,1.838189,3.281287,
5.503760,1.825380,3.289357,
5.530903,1.820432,3.292367,
5.687448,1.792155,3.309612,
5.844763,1.764182,3.326752,
6.002936,1.736497,3.343796,
6.161980,1.709097,3.360745,
6.321904,1.681982,3.377598,
6.482722,1.655148,3.394356,
6.644443,1.628596,3.411018,
6.807080,1.602323,3.427584,
6.970644,1.576327,3.444055,
7.135147,1.550608,3.460430,
7.300601,1.525163,3.476710,
7.467019,1.499992,3.492893,
7.634411,1.475092,3.508981,
7.802791,1.450462,3.524972,
7.972170,1.426100,3.540866,
8.142562,1.402006,3.556664,
8.313978,1.378178,3.572364,
8.486432,1.354614,3.587967,
8.659936,1.331313,3.603472,
8.834503,1.308274,3.618879,
9.010147,1.285496,3.634188,
9.186880,1.262976,3.649397,
9.364715,1.240714,3.664508,
9.543667,1.218708,3.679518,
9.723749,1.196957,3.694428,
9.904975,1.175461,3.709238,
10.087358,1.154216,3.723946,
10.270913,1.133223,3.738553,
10.455655,1.112479,3.753058,
10.641596,1.091984,3.767460,
10.828754,1.071737,3.781760,
11.017141,1.051735,3.795955,
11.206773,1.031978,3.810047,
11.397666,1.012465,3.824034,
11.589835,0.993194,3.837916,
11.783295,0.974164,3.851692,
11.978063,0.955374,3.865363,
12.174154,0.936822,3.878927,
12.371586,0.918507,3.892384,
12.570375,0.900428,3.905733,
12.770537,0.882584,3.918974,
12.972091,0.864972,3.932107,
13.175053,0.847593,3.945131,
13.379441,0.830445,3.958046,
13.585274,0.813526,3.970851,
13.792570,0.796835,3.983545,
14.001348,0.780371,3.996129,
14.211626,0.764133,4.008601,
14.423425,0.748118,4.020962,
14.636763,0.732327,4.033211,
14.851662,0.716757,4.045348,
15.068142,0.701407,4.057372,
15.286224,0.686275,4.069283,
15.505929,0.671362,4.081080,
15.727278,0.656664,4.092764,
15.950295,0.642181,4.104333,
16.175002,0.627911,4.115788,
16.401422,0.613853,4.127129,
16.629579,0.600006,4.138354,
16.859496,0.586368,4.149464,
17.091199,0.572937,4.160459,
17.324712,0.559713,4.171338,
17.560061,0.546694,4.182101,
17.797273,0.533878,4.192748,
18.036375,0.521264,4.203279,
18.277393,0.508850,4.213693,
18.520355,0.496636,4.223990,
18.765292,0.484619,4.234171,
19.012230,0.472798,4.244235,
19.261202,0.461171,4.254181,
19.512237,0.449738,4.264011,
19.765367,0.438496,4.273724,
20.020624,0.427445,4.283319,
20.278041,0.416582,4.292797,
20.537651,0.405905,4.302158,
20.799489,0.395415,4.311402,
21.063591,0.385108,4.320529,
21.329993,0.374984,4.329539,
21.598732,0.365040,4.338431,
21.869845,0.355276,4.347206,
22.143373,0.345690,4.355865,
22.419355,0.336279,4.364407,
22.697832,0.327044,4.372832,
22.978847,0.317981,4.381141,
23.262442,0.309089,4.389333,
23.548662,0.300368,4.397409,
23.837553,0.291814,4.405369,
24.129162,0.283427,4.413214,
24.423536,0.275205,4.420943,
24.720726,0.267146,4.428556,
25.020781,0.259249,4.436055,
25.323755,0.251512,4.443439,
25.629701,0.243933,4.450709,
25.938675,0.236511,4.457865,
26.250733,0.229244,4.464907,
26.565934,0.222131,4.471836,
26.884338,0.215169,4.478651,
27.206007,0.208357,4.485355,
27.531006,0.201694,4.491946,
27.859400,0.195178,4.498425,
28.191257,0.188807,4.504793,
28.526647,0.182579,4.511050,
28.865643,0.176493,4.517197,
29.208319,0.170547,4.523234,
29.554752,0.164740,4.529162,
29.905021,0.159069,4.534981,
30.259208,0.153533,4.540692,
30.617399,0.148131,4.546295,
30.979681,0.142860,4.551791,
31.346144,0.137719,4.557180,
31.716882,0.132706,4.562464,
32.091992,0.127820,4.567642,
32.471574,0.123059,4.572715,
32.855732,0.118421,4.577685,
33.244573,0.113904,4.582551,
33.638210,0.109507,4.587315,
34.036757,0.105228,4.591976,
34.440335,0.101066,4.596537,
34.849068,0.097018,4.600997,
35.263085,0.093083,4.605357,
35.682520,0.089259,4.609618,
36.107513,0.085544,4.613781,
36.538208,0.081938,4.617847,
36.974756,0.078438,4.621816,
37.417315,0.075042,4.625690,
37.866047,0.071748,4.629468,
38.321122,0.068556,4.633153,
38.782718,0.065463,4.636744,
