Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.004000,2.499002,2.500734,
0.006000,2.498504,2.501101,
0.008000,2.498007,2.501468,
0.010000,2.497511,2.501835,
0.012000,2.497016,2.502202,
0.014000,2.496522,2.502569,
0.016000,2.496029,2.502935,
0.018000,2.495536,2.503302,
0.020000,2.495045,2.503668,
0.022000,2.494554,2.504035,
0.024000,2.494065,2.504401,
0.026000,2.493576,2.504768,
0.028000,2.493088,2.505134,
0.030000,2.492601,2.505500,
0.032000,2.492115,2.505866,
0.034000,2.491630,2.506232,
0.036000,2.491146,2.506598,
0.038000,2.490662,2.506964,
0.040000,2.490180,2.507330,
0.042000,2.489698,2.507696,
0.044000,2.489217,2.508062,
0.046000,2.488738,2.508427,
0.048000,2.488259,2.508793,
0.050000,2.487781,2.509158,
0.052000,2.487304,2.509524,
0.054000,2.486827,2.509889,
0.056000,2.486352,2.510255,
0.058000,2.485878,2.510620,
0.060000,2.485404,2.510985,
0.062000,2.484932,2.511350,
0.064000,2.484460,2.511715,
0.066000,2.483989,2.512080,
0.068000,2.483519,2.512445,
0.070000,2.483050,2.512810,
0.072000,2.482582,2.513175,
0.074000,2.482115,2.513540,
0.076000,2.481648,2.513904,
0.078000,2.481183,2.514269,
0.080000,2.480718,2.514634,
0.082000,2.480254,2.514998,
0.084000,2.479792,2.515363,
0.086000,2.479330,2.515727,
0.088000,2.478869,2.516091,
0.090000,2.478409,2.516455,
0.092000,2.477949,2.516820,
0.094000,2.477491,2.517184,
0.096000,2.477033,2.517548,
0.098000,2.476577,2.517912,
0.100000,2.476121,2.518276,
0.102000,2.475666,2.518639,
0.104000,2.475213,2.519003,
0.106000,2.474760,2.519367,
0.108000,2.474307,2.519730,
0.110000,2.473856,2.520094,
0.112000,2.473406,2.520457,
0.114000,2.472957,2.520821,
0.116000,2.472508,2.521184,
0.118000,2.472060,2.521548,
0.120000,2.471614,2.521911,
0.122000,2.471168,2.522274,
0.124000,2.470723,2.522637,
0.126000,2.470279,2.523000,
0.128000,2.469835,2.523363,
0.130000,2.469393,2.523726,
0.132000,2.468952,2.524089,
0.134000,2.468511,2.524452,
0.136000,2.468071,2.524814,
0.138000,2.467633,2.525177,
0.140000,2.467195,2.525539,
0.142000,2.466758,2.525902,
0.144000,2.466322,2.526264,
0.146000,2.465886,2.526627,
0.148000,2.465452,2.526989,
0.150000,2.465019,2.527351,
0.152000,2.464586,2.527713,
0.154000,2.464154,2.528075,
0.156000,2.463724,2.528437,
0.158000,2.463294,2.528799,
0.160000,2.462865,2.529161,
0.162000,2.462437,2.529523,
0.164000,2.462009,2.529885,
0.166000,2.461583,2.530247,
0.168000,2.461157,2.530608,
0.170000,2.460733,2.530970,
0.172000,2.460309,2.531331,
0.174000,2.459886,2.531693,
0.176000,2.459464,2.532054,
0.178000,2.459043,2.532415,
0.180000,2.458623,2.532777,
0.182000,2.458204,2.533138,
0.184000,2.457786,2.533499,
0.186000,2.457368,2.533860,
0.188000,2.456951,2.534221,
0.190000,2.456536,2.534582,
0.192000,2.456121,2.534943,
0.194000,2.455707,2.535303,
0.196000,2.455294,2.535664,
0.198000,2.454881,2.536025,
0.200000,2.454470,2.536385,
0.202000,2.454060,2.536746,
0.204000,2.453650,2.537106,
0.206000,2.453241,2.537467,
0.208000,2.452834,2.537827,
0.210000,2.452427,2.538187,
0.212000,2.452021,2.538547,
0.214000,2.451615,2.538907,
0.216000,2.451211,2.539267,
0.218000,2.450808,2.539627,
0.220000,2.450405,2.539987,
0.222000,2.450004,2.540347,
0.224000,2.449603,2.540707,
0.226000,2.449203,2.541066,
0.228000,2.448804,2.541426,
0.230000,2.448406,2.541786,
0.232000,2.448009,2.542145,
0.234000,2.447612,2.542505,
0.236000,2.447217,2.542864,
0.238000,2.446822,2.543223,
0.240000,2.446428,2.543582,
0.242000,2.446036,2.543942,
0.244000,2.445644,2.544301,
0.246000,2.445253,2.544660,
0.248000,2.444862,2.545019,
0.250000,2.444473,2.545378,
0.252000,2.444085,2.545736,
0.254000,2.443697,2.546095,
0.256000,2.443310,2.546454,
0.258000,2.442924,2.546812,
0.260000,2.442540,2.547171,
0.262000,2.442155,2.547529,
0.264000,2.441772,2.547888,
0.266000,2.441390,2.548246,
0.268000,2.441008,2.548604,
0.270000,2.440628,2.548963,
0.272000,2.440248,2.549321,
0.274000,2.439869,2.549679,
0.276000,2.439491,2.550037,
0.278000,2.439114,2.550395,
0.280000,2.438738,2.550753,
0.282000,2.438363,2.551111,
0.284000,2.437989,2.551468,
0.286000,2.437615,2.551826,
0.288000,2.437242,2.552184,
0.290000,2.436870,2.552541,
0.292000,2.436500,2.552899,
0.294000,2.436129,2.553256,
0.296000,2.435760,2.553613,
0.298000,2.435392,2.553971,
0.300000,2.435025,2.554328,
0.302000,2.434658,2.554685,
0.304000,2.434292,2.555042,
0.306000,2.433927,2.555399,
0.308000,2.433563,2.555756,
0.310000,2.433200,2.556113,
0.312000,2.432838,2.556470,
0.314000,2.432477,2.556826,
0.316000,2.432116,2.557183,
0.318000,2.431757,2.557540,
0.320000,2.431398,2.557896,
0.322000,2.431040,2.558253,
0.324000,2.430683,2.558609,
0.326000,2.430327,2.558965,
0.328000,2.429972,2.559322,
0.330000,2.429618,2.559678,
0.332000,2.429264,2.560034,
0.334000,2.428911,2.560390,
0.336000,2.428560,2.560746,
0.338000,2.428209,2.561102,
0.340000,2.427859,2.561458,
0.342000,2.427510,2.561814,
0.344000,2.427161,2.562169,
0.346000,2.426814,2.562525,
