Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.067533,2.483287,2.512360,
0.133055,2.467397,2.524281,
0.198707,2.451794,2.536156,
0.264491,2.436478,2.547984,
0.330409,2.421447,2.559767,
0.396463,2.406702,2.571504,
0.462655,2.392241,2.583196,
0.528987,2.378064,2.594843,
0.595462,2.364171,2.606445,
0.662081,2.350561,2.618003,
0.728846,2.337234,2.629517,
0.795761,2.324189,2.640987,
0.862825,2.311425,2.652413,
0.930043,2.298943,2.663796,
0.997415,2.286743,2.675135,
1.064945,2.274822,2.686431,
1.132633,2.263183,2.697684,
1.200483,2.251824,2.708895,
1.268495,2.240744,2.720062,
1.336673,2.229945,2.731187,
1.405018,2.219425,2.742270,
1.473533,2.209184,2.753310,
1.542219,2.199223,2.764308,
1.611078,2.189541,2.775263,
1.680113,2.180139,2.786176,
1.749325,2.171015,2.797047,
1.818717,2.162171,2.807877,
1.888291,2.153605,2.818664,
1.958048,2.145319,2.829408,
2.027991,2.137296,2.840111,
2.047382,2.135093,2.843066,
2.152685,2.123203,2.859018,
2.258183,2.111415,2.874842,
2.364231,2.099691,2.890592,
2.470830,2.088031,2.906266,
2.577981,2.076435,2.921865,
2.685689,2.064903,2.937389,
2.793954,2.053436,2.952838,
2.902780,2.042034,2.968210,
3.012169,2.030697,2.983507,
3.122124,2.019427,2.998728,
3.232647,2.008222,3.013873,
3.343741,1.997083,3.028942,
3.455409,1.986011,3.043935,
3.567652,1.975005,3.058850,
3.680474,1.964067,3.073689,
3.793878,1.953196,3.088451,
3.907864,1.942392,3.103137,
4.022438,1.931656,3.117744,
4.137600,1.920989,3.132275,
4.253354,1.910389,3.146728,
4.369703,1.899859,3.161103,
4.486648,1.889396,3.175400,
4.604194,1.879003,3.189619,
4.722342,1.868679,3.203760,
4.841095,1.858424,3.217822,
4.960457,1.848239,3.231806,
5.080430,1.838123,3.245712,
5.201017,1.828077,3.259538,
5.322221,1.818101,3.273286,
5.444045,1.808195,3.286954,
5.566492,1.798359,3.300543,
5.689565,1.788594,3.314053,
5.813267,1.778899,3.327483,
5.937602,1.769274,3.340833,
6.062572,1.759721,3.354104,
6.188181,1.750237,3.367294,
6.314432,1.740825,3.380405,
6.441328,1.731484,3.393435,
6.568873,1.722213,3.406385,
6.697070,1.713014,3.419255,
6.825924,1.703885,3.432044,
6.955436,1.694828,3.444752,
7.085612,1.685842,3.457380,
7.216454,1.676926,3.469927,
7.347967,1.668082,3.482393,
7.480154,1.659309,3.494778,
7.613019,1.650607,3.507082,
7.746567,1.641976,3.519305,
7.880800,1.633416,3.531447,
8.015724,1.624927,3.543507,
8.151343,1.616509,3.555486,
8.287660,1.608162,3.567384,
8.424681,1.599886,3.579200,
8.562409,1.591681,3.590935,
8.700849,1.583546,3.602589,
8.840006,1.575482,3.614161,
8.979883,1.567488,3.625651,
9.120487,1.559565,3.637060,
9.261822,1.551712,3.648387,
9.403892,1.543929,3.659632,
9.546704,1.536216,3.670796,
9.690261,1.528573,3.681879,
9.834568,1.521000,3.692880,
9.979633,1.513497,3.703799,
10.125459,1.495207,3.714651,
10.132647,1.494178,3.715184,
10.204432,1.484094,3.720487,
10.276242,1.474335,3.725768,
10.348238,1.464878,3.731039,
10.420422,1.455725,3.736299,
10.492794,1.446874,3.741548,
10.565356,1.438326,3.746785,
10.638111,1.430080,3.752010,
10.711059,1.422138,3.757223,
10.784202,1.414498,3.762422,
10.857541,1.407162,3.767609,
10.931080,1.400128,3.772781,
11.004818,1.393397,3.777940,
11.078757,1.386970,3.783084,
11.152900,1.380846,3.788213,
11.227247,1.375026,3.793327,
11.301801,1.369509,3.798425,
11.376562,1.364296,3.803507,
11.451533,1.359387,3.808573,
11.526714,1.354782,3.813621,
11.602109,1.350482,3.818653,
11.677717,1.346486,3.823666,
11.753542,1.342795,3.828661,
11.829583,1.339408,3.833638,
11.905844,1.336328,3.838596,
11.982326,1.333552,3.843535,
12.059030,1.330989,3.848453,
12.081950,1.330231,3.849916,
12.240099,1.325049,3.859929,
12.398474,1.319942,3.869814,
12.557745,1.314887,3.879612,
12.717915,1.309883,3.889324,
12.878992,1.304932,3.898950,
13.040984,1.300032,3.908490,
13.203899,1.295183,3.917944,
13.367745,1.290386,3.927312,
13.532530,1.285640,3.936594,
13.698262,1.280946,3.945791,
13.864950,1.276301,3.954903,
14.032603,1.271708,3.963930,
14.201228,1.267164,3.972872,
14.370836,1.262671,3.981729,
14.541435,1.258228,3.990501,
14.713034,1.253835,3.999189,
14.885644,1.249491,4.007794,
15.059273,1.245196,4.016314,
15.233931,1.240951,4.024750,
15.409629,1.236755,4.033103,
15.586376,1.232607,4.041373,
15.764183,1.228507,4.049559,
15.943061,1.224456,4.057663,
16.123020,1.220453,4.065684,
16.304070,1.216498,4.073623,
16.486225,1.212590,4.081480,
16.669493,1.208729,4.089255,
16.853889,1.204916,4.096948,
17.039422,1.201149,4.104560,
17.226105,1.197428,4.112091,
17.413950,1.193754,4.119541,
17.602970,1.190127,4.126911,
17.793177,1.186544,4.134200,
17.984585,1.183008,4.141410,
18.177206,1.179516,4.148540,
18.371054,1.176070,4.155590,
18.566144,1.172668,4.162562,
18.762487,1.169311,4.169455,
18.960100,1.165998,4.176269,
19.158996,1.162729,4.183005,
19.359190,1.159504,4.189664,
19.560698,1.156322,4.196245,
19.763535,1.153183,4.202748,
19.967716,1.150087,4.209175,
20.173257,1.131981,4.215553,
20.182515,1.131016,4.215839,
20.257747,1.123364,4.218161,
20.333006,1.116049,4.220477,
