Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.062651,2.484523,2.511469,
0.123291,2.469896,2.522509,
0.184042,2.455589,2.533509,
0.244903,2.441600,2.544469,
0.305879,2.427930,2.555388,
0.366970,2.414577,2.566269,
0.428178,2.401541,2.577110,
0.489507,2.388822,2.587912,
0.550956,2.376418,2.598675,
0.612530,2.364331,2.609399,
0.674228,2.352558,2.620085,
0.736055,2.341101,2.630732,
0.798011,2.329957,2.641341,
0.860098,2.319128,2.651912,
0.922319,2.308613,2.662445,
0.984675,2.298411,2.672940,
1.047168,2.288523,2.683397,
1.109801,2.278948,2.693816,
1.172575,2.269686,2.704198,
1.235492,2.260737,2.714541,
1.298554,2.252101,2.724847,
1.361763,2.243777,2.735116,
1.425121,2.235767,2.745347,
1.488630,2.227940,2.755541,
1.518244,2.224309,2.760273,
1.620766,2.211821,2.776553,
1.723520,2.199433,2.792711,
1.826807,2.187108,2.808795,
1.930626,2.174847,2.824805,
2.034982,2.162651,2.840740,
2.139876,2.150519,2.856601,
2.245311,2.138452,2.872387,
2.351290,2.126451,2.888098,
2.457815,2.114515,2.903734,
2.564888,2.102645,2.919295,
2.672512,2.090842,2.934781,
2.780690,2.079105,2.950192,
2.889425,2.067435,2.965527,
2.998718,2.055832,2.980787,
3.108572,2.044297,2.995971,
3.218990,2.032829,3.011079,
3.329974,2.021430,3.026111,
3.441527,2.010099,3.041067,
3.553651,1.998837,3.055947,
3.666350,1.987643,3.070750,
3.779625,1.976519,3.085477,
3.893479,1.965464,3.100127,
4.007915,1.954478,3.114700,
4.122935,1.943563,3.129196,
4.238543,1.932717,3.143615,
4.354740,1.921942,3.157956,
4.471530,1.911237,3.172220,
4.588916,1.900603,3.186407,
4.706899,1.890040,3.200515,
4.825483,1.879548,3.214546,
4.944671,1.869127,3.228499,
5.064465,1.858777,3.242373,
5.184869,1.848499,3.256169,
5.305885,1.838293,3.269887,
5.427517,1.828159,3.283526,
5.549767,1.818096,3.297086,
5.672638,1.808105,3.310568,
5.796134,1.798187,3.323970,
5.920257,1.788341,3.337293,
6.045011,1.778567,3.350537,
6.170400,1.768866,3.363702,
6.296425,1.759237,3.376787,
6.423092,1.749680,3.389792,
6.550403,1.740197,3.402718,
6.678361,1.730786,3.415564,
6.806970,1.721447,3.428331,
6.936234,1.712182,3.441017,
7.066156,1.702989,3.453623,
7.196740,1.693868,3.466149,
7.327990,1.684821,3.478594,
7.459909,1.675846,3.490960,
7.592502,1.666944,3.503245,
7.725772,1.658115,3.515449,
7.859724,1.649358,3.527573,
7.994361,1.640674,3.539616,
8.129687,1.632062,3.551579,
8.265708,1.623523,3.563461,
8.402426,1.615056,3.575262,
8.539848,1.606662,3.586983,
8.677976,1.598340,3.598622,
8.816816,1.590090,3.610181,
8.956372,1.581912,3.621659,
9.096649,1.573806,3.633056,
9.237651,1.565772,3.644372,
9.379385,1.557810,3.655607,
9.521853,1.549919,3.666762,
9.665063,1.542100,3.677835,
9.809018,1.534352,3.688828,
9.953724,1.526675,3.699739,
10.099187,1.519069,3.710570,
10.245411,1.511535,3.721320,
10.392403,1.504070,3.731988,
10.540167,1.496677,3.742577,
10.688710,1.489354,3.753084,
10.838038,1.482100,3.763510,
10.988156,1.474917,3.773856,
11.139070,1.467804,3.784122,
11.290787,1.460760,3.794306,
11.443313,1.453786,3.804410,
11.596654,1.446880,3.814434,
11.750817,1.440044,3.824377,
11.905808,1.433276,3.834240,
12.061633,1.426577,3.844023,
12.218301,1.419946,3.853725,
12.375817,1.413383,3.863347,
12.534189,1.406888,3.872890,
12.693424,1.400460,3.882352,
12.853529,1.394099,3.891735,
13.014512,1.387806,3.901038,
13.176380,1.381579,3.910261,
13.339141,1.375419,3.919405,
13.502803,1.369325,3.928470,
13.667374,1.363296,3.937456,
13.832861,1.357334,3.946362,
13.999274,1.351436,3.955189,
14.166621,1.333650,3.963956,
14.174634,1.332677,3.964374,
14.241634,1.324751,3.967860,
14.308658,1.317189,3.971335,
14.375843,1.309973,3.974804,
14.443191,1.303105,3.978269,
14.510703,1.296583,3.981727,
14.578380,1.290409,3.985179,
14.646223,1.284583,3.988625,
14.714234,1.279103,3.992063,
14.782414,1.273971,3.995493,
14.850764,1.269187,3.998916,
14.919285,1.264751,4.002330,
14.987979,1.260663,4.005735,
15.056847,1.256923,4.009130,
15.125890,1.253531,4.012516,
15.195109,1.250488,4.015891,
15.264506,1.247794,4.019255,
15.334082,1.245448,4.022608,
15.403839,1.243452,4.025949,
15.473776,1.241729,4.029278,
15.491214,1.241308,4.030105,
15.668459,1.237068,4.038434,
15.845900,1.232899,4.046640,
16.024412,1.228778,4.054764,
16.203999,1.224706,4.062805,
16.384674,1.220683,4.070764,
16.566446,1.216708,4.078641,
16.749327,1.212781,4.086436,
16.933330,1.208901,4.094150,
17.118464,1.205069,4.101783,
17.304743,1.201285,4.109335,
17.492179,1.197547,4.116806,
17.680783,1.193856,4.124197,
17.870568,1.190212,4.131508,
18.061548,1.186614,4.138739,
18.253735,1.183061,4.145890,
18.447143,1.179555,4.152962,
18.641786,1.176094,4.159955,
18.837676,1.172678,4.166870,
19.034828,1.169307,4.173706,
19.233258,1.165980,4.180464,
19.432978,1.162698,4.187145,
19.634005,1.159460,4.193748,
19.836354,1.156266,4.200273,
20.040039,1.153115,4.206723,
20.245078,1.150008,4.213095,
20.451486,1.146943,4.219392,
20.659279,1.143921,4.225613,
20.868476,1.140942,4.231758,
21.079091,1.138004,4.237828,
21.291145,1.135109,4.243824,
