Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.006000,2.498502,2.501101,
0.014000,2.496509,2.502569,
0.030000,2.492543,2.505500,
0.062000,2.484682,2.511350,
0.126000,2.469251,2.523001,
0.254000,2.439539,2.546101,
0.510000,2.384647,2.591508,
1.022000,2.292462,2.679192,
2.046000,2.160629,2.842404,
3.070000,2.047658,2.990668,
5.118000,1.853569,3.248627,
9.214000,1.565774,3.643381,
13.310000,1.375013,3.918976,
17.406000,1.244589,4.112180,
21.502000,1.162122,4.246629,
29.694000,1.068856,4.407698,
37.886000,1.029244,4.483724,
46.078000,1.012421,4.519231,
54.270000,1.005275,4.535673,
70.654000,0.999846,4.548798,
87.038000,0.647735,4.436382,
95.230000,0.850387,4.530090,
103.422000,0.932912,4.556735,
