Vgs     Vds     Ids
1	4.95	1.58E-07
1	5	1.58E-07
1.5	0	4.46E-09
1.5	0.05	1.71E-05
1.5	0.1	2.72E-05
1.5	0.15	3.22E-05
1.5	0.2	3.42E-05
1.5	0.25	3.50E-05
1.5	0.3	3.54E-05
1.5	0.35	3.56E-05
1.5	0.4	3.57E-05
1.5	0.45	3.58E-05
1.5	0.5	3.59E-05
1.5	0.55	3.59E-05
1.5	0.6	3.60E-05
1.5	0.65	3.60E-05
1.5	0.7	3.61E-05
1.5	0.75	3.61E-05
1.5	0.8	3.62E-05
1.5	0.85	3.62E-05
1.5	0.9	3.62E-05
1.5	0.95	3.62E-05
1.5	1	3.63E-05
1.5	1.05	3.63E-05
1.5	1.1	3.63E-05
1.5	1.15	3.63E-05
1.5	1.2	3.64E-05
1.5	1.25	3.64E-05
1.5	1.3	3.64E-05
1.5	1.35	3.64E-05
1.5	1.4	3.65E-05
1.5	1.45	3.65E-05
1.5	1.5	3.65E-05
1.5	1.55	3.65E-05
1.5	1.6	3.65E-05
1.5	1.65	3.66E-05
1.5	1.7	3.66E-05
1.5	1.75	3.66E-05
1.5	1.8	3.66E-05
1.5	1.85	3.66E-05
1.5	1.9	3.66E-05
1.5	1.95	3.67E-05
1.5	2	3.67E-05
1.5	2.05	3.67E-05
1.5	2.1	3.67E-05
1.5	2.15	3.67E-05
1.5	2.2	3.67E-05
1.5	2.25	3.68E-05
1.5	2.3	3.68E-05
1.5	2.35	3.68E-05
1.5	2.4	3.68E-05
1.5	2.45	3.68E-05
1.5	2.5	3.68E-05
1.5	2.55	3.68E-05
1.5	2.6	3.68E-05
1.5	2.65	3.69E-05
1.5	2.7	3.69E-05
1.5	2.75	3.69E-05
1.5	2.8	3.69E-05
1.5	2.85	3.69E-05
1.5	2.9	3.69E-05
1.5	2.95	3.69E-05
1.5	3	3.70E-05
1.5	3.05	3.70E-05
1.5	3.1	3.70E-05
1.5	3.15	3.70E-05
1.5	3.2	3.70E-05
1.5	3.25	3.70E-05
1.5	3.3	3.70E-05
1.5	3.35	3.70E-05
1.5	3.4	3.70E-05
1.5	3.45	3.71E-05
1.5	3.5	3.71E-05
1.5	3.55	3.71E-05
1.5	3.6	3.71E-05
1.5	3.65	3.71E-05
1.5	3.7	3.71E-05
1.5	3.75	3.71E-05
1.5	3.8	3.71E-05
1.5	3.85	3.71E-05
1.5	3.9	3.72E-05
1.5	3.95	3.72E-05
1.5	4	3.72E-05
1.5	4.05	3.72E-05
1.5	4.1	3.72E-05
1.5	4.15	3.72E-05
1.5	4.2	3.72E-05
1.5	4.25	3.72E-05
1.5	4.3	3.72E-05
1.5	4.35	3.73E-05
1.5	4.4	3.73E-05
1.5	4.45	3.73E-05
1.5	4.5	3.73E-05
1.5	4.55	3.73E-05
1.5	4.6	3.73E-05
1.5	4.65	3.73E-05
1.5	4.7	3.73E-05
1.5	4.75	3.74E-05
1.5	4.8	3.74E-05
1.5	4.85	3.74E-05
1.5	4.9	3.74E-05
1.5	4.95	3.74E-05
1.5	5	3.74E-05
2	0	2.77E-08
2	0.05	5.20E-05
2	0.1	9.64E-05
2	0.15	0.000133555
2	0.2	0.000163457
2	0.25	0.000186629
2	0.3	0.000203702
2	0.35	0.000215562
2	0.4	0.000223405
2	0.45	0.000228359
2	0.5	0.000231424
2	0.55	0.000233402
2	0.6	0.000234713
2	0.65	0.000235767
2	0.7	0.000236493
2	0.75	0.000237111
2	0.8	0.00023762
2	0.85	0.000238065
2	0.9	0.000238448
2	0.95	0.00023879
2	1	0.000239112
2	1.05	0.000239335
2	1.1	0.000239603
2	1.15	0.000239879
2	1.2	0.000240084
2	1.25	0.00024035
2	1.3	0.000240566
2	1.35	0.000240766
2	1.4	0.000240979
2	1.45	0.000241161
2	1.5	0.000241349
2	1.55	0.000241451
2	1.6	0.000241644
2	1.65	0.000241771
2	1.7	0.000241944
2	1.75	0.000242059
2	1.8	0.000242241
2	1.85	0.000242386
2	1.9	0.000242477
2	1.95	0.000242615
2	2	0.000242739
2	2.05	0.000242875
2	2.1	0.000242968
2	2.15	0.00024308
2	2.2	0.000243205
2	2.25	0.000243295
2	2.3	0.000243427
2	2.35	0.000243509
2	2.4	0.000243647
2	2.45	0.000243767
2	2.5	0.000243821
2	2.55	0.000243931
2	2.6	0.000244026
2	2.65	0.000244106
2	2.7	0.000244196
2	2.75	0.000244314
2	2.8	0.00024441
2	2.85	0.000244488
2	2.9	0.000244616
2	2.95	0.000244738
2	3	0.000244796
2	3.05	0.00024489
2	3.1	0.000244978
2	3.15	0.000245054
2	3.2	0.000245105
2	3.25	0.000245195
2	3.3	0.000245255
2	3.35	0.000245356
2	3.4	0.000245464
2	3.45	0.00024553
2	3.5	0.000245658
2	3.55	0.000245675
2	3.6	0.000245734
2	3.65	0.000245848
2	3.7	0.000245961
2	3.75	0.000246005
2	3.8	0.000246078
2	3.85	0.000246204
2	3.9	0.000246219
2	3.95	0.000246282
2	4	0.000246332
2	4.05	0.000246417
2	4.1	0.00024655
2	4.15	0.000246661
2	4.2	0.000246715
2	4.25	0.000246686
2	4.3	0.000246803
2	4.35	0.0002469
2	4.4	0.000246954
2	4.45	0.000246991
2	4.5	0.000247117
2	4.55	0.00024717
2	4.6	0.000247276
2	4.65	0.000247292
2	4.7	0.000247388
2	4.75	0.00024745
2	4.8	0.000247535
2	4.85	0.000247614
2	4.9	0.000247645
2	4.95	0.000247724
2	5	0.000247816
2.5	0	5.40E-08
2.5	0.05	8.24E-05
2.5	0.1	0.000158286
2.5	0.15	0.000227594
2.5	0.2	0.000290305
2.5	0.25	0.000346524
2.5	0.3	0.000396345
2.5	0.35	0.000439859
2.5	0.4	0.000477221
2.5	0.45	0.000508556
2.5	0.5	0.000534204
2.5	0.55	0.000554879
2.5	0.6	0.000570969
2.5	0.65	0.000583138
2.5	0.7	0.000592184
2.5	0.75	0.000598871
2.5	0.8	0.000603838
2.5	0.85	0.000607467
2.5	0.9	0.000610468
2.5	0.95	0.000612736
2.5	1	0.000614626
2.5	1.05	0.000616205
2.5	1.1	0.000617549
2.5	1.15	0.000618746
2.5	1.2	0.000619722
2.5	1.25	0.000620685
2.5	1.3	0.000621548
2.5	1.35	0.000622267
2.5	1.4	0.000623047
